Sample	Unassigned: r RNA	Unassigned: Overlapping Length	Unassigned: No Features	Unassigned: Ambiguity	Unassigned: Unmapped	Assigned
SRX3316550	90634.0	2350040.0	3353345.0	27858.0	8338162.0	40981507.0
SRX3316551	457439.0	1745626.0	4039953.0	28555.0	11474716.0	40802971.0
SRX3316552	74969.0	2458772.0	3281863.0	18918.0	9390972.0	38167856.0
SRX3316553	82980.0	2273934.0	2802892.0	22856.0	8721358.0	35887326.0
SRX3316554	57948.0	2243945.0	3575130.0	18196.0	10037708.0	35344919.0
SRX3316555	78583.0	1835170.0	3254113.0	21906.0	8621116.0	31257708.0
SRX3316556	34370.0	2277100.0	3053621.0	19263.0	8466872.0	33952048.0
SRX3316557	88281.0	2321725.0	3120468.0	29532.0	8420422.0	38716846.0
SRX3316558	233552.0	1889701.0	2713698.0	24202.0	6966468.0	32969729.0
SRX3316559	463784.0	2386847.0	3117058.0	25579.0	8872364.0	36766454.0
SRX3316560	863945.0	1767232.0	3261942.0	19709.0	9989128.0	36317260.0
SRX3316561	171014.0	2098527.0	3603264.0	26842.0	10781934.0	37018715.0
SRX3316625	39154.0	2200453.0	2532562.0	17708.0	8559196.0	36628345.0
SRX3316626	51573.0	2063477.0	2887088.0	24244.0	8650942.0	35097950.0
SRX3316627	26976.0	2190196.0	2591369.0	16902.0	9185788.0	36669609.0
SRX3316628	81567.0	2293170.0	3106156.0	27301.0	8431172.0	36705828.0
SRX3316629	65643.0	2008272.0	2654928.0	25366.0	7498818.0	34663769.0
SRX3316630	81636.0	2864933.0	3623412.0	30748.0	9505904.0	44342107.0
SRX3316631	84514.0	2617405.0	3229811.0	28880.0	8474766.0	41807012.0
SRX3316632	123932.0	1926769.0	2337588.0	17234.0	7964680.0	34960365.0
SRX3316633	68579.0	1946979.0	2765161.0	23971.0	8220102.0	34347448.0
SRX3316634	32988.0	2404518.0	3220191.0	24429.0	8177560.0	35507288.0
SRX3316735	2318941.0	2395137.0	3193287.0	26107.0	4483486.0	44908158.0
SRX3316736	157823.0	3058286.0	3933726.0	34098.0	2836790.0	52566123.0
SRX3316737	211515.0	3149693.0	4383759.0	37051.0	3640098.0	53863784.0
SRX3316738	199547.0	2952650.0	4415072.0	34306.0	2299748.0	49393823.0
SRX3316739	46940.0	2385949.0	3160025.0	25175.0	2835120.0	42489359.0
SRX3316740	32920.0	1233357.0	2517826.0	10238.0	5830498.0	29936115.0
SRX3316741	4966929.0	3532936.0	5416172.0	36784.0	3378878.0	58910013.0
SRX3316742	51518.0	2960820.0	3798742.0	31859.0	2352680.0	49494017.0
SRX3316743	49127.0	2879455.0	3946294.0	31861.0	2916312.0	48679121.0
SRX3316744	23863.0	407594.0	1137282.0	3936.0	3217006.0	10950399.0
SRX3316745	131988.0	1049724.0	3865417.0	10728.0	8051150.0	32824631.0
SRX3316746	116502.0	1038454.0	3157156.0	10219.0	8795930.0	31041713.0
SRX3316747	144040.0	2070015.0	3006636.0	21798.0	5060180.0	43813645.0
SRX3316748	57862.0	2659520.0	3628611.0	29300.0	2388802.0	44333035.0
SRX3316749	69322.0	1940091.0	2748806.0	18793.0	4946582.0	40405294.0
SRX3316750	54197.0	2680327.0	3567031.0	29477.0	2832684.0	45705528.0
SRX3316751	61020.0	2213982.0	3103934.0	26149.0	2960884.0	35270257.0
SRX3316752	31063.0	1795328.0	2489634.0	20653.0	1965346.0	29040226.0
SRX3316753	49987.0	2280823.0	3073199.0	27727.0	2665832.0	37334090.0
SRX3316754	84003.0	2026718.0	2882219.0	24500.0	2118206.0	33394258.0
SRX3316755	32318.0	2492426.0	3534035.0	29848.0	3328504.0	42626213.0
SRX3316756	33698.0	1937121.0	2768286.0	23225.0	2130156.0	31632348.0
SRX3316757	46032.0	2087161.0	3018672.0	24460.0	2299484.0	33930035.0
SRX3316758	30334.0	2547360.0	3752249.0	29514.0	2869378.0	43236309.0
SRX3411505	9436150.0	35119.0	65080.0	187.0	5732424.0	359070.0
SRX3411506	4998977.0	29534.0	64809.0	106.0	4308938.0	362364.0
SRX3411507	6109343.0	30830.0	35937.0	82.0	5278520.0	388814.0
SRX3411508	6095507.0	21989.0	33138.0	110.0	3346980.0	240758.0
SRX3411509	6348286.0	21657.0	29796.0	182.0	4127690.0	260021.0
SRX3411510	3390863.0	17927.0	25628.0	74.0	7397988.0	217064.0
SRX3411511	5779977.0	19649.0	32282.0	93.0	7140442.0	227889.0
SRX3411512	3965957.0	13437.0	20785.0	63.0	4184014.0	158342.0
SRX3411513	4732571.0	23980.0	28848.0	104.0	5450754.0	306221.0
SRX3411514	302330.0	31414.0	390706.0	1097.0	7992566.0	240785.0
SRX3411515	258848.0	18925.0	247437.0	532.0	7601590.0	114204.0
SRX3411516	447519.0	25683.0	306935.0	525.0	10447430.0	182140.0
SRX3411517	1301363.0	23263.0	71067.0	344.0	9341702.0	194485.0
SRX3411518	150859.0	51534.0	73501.0	1024.0	5441820.0	310932.0
SRX3411519	209350.0	26751.0	38739.0	556.0	6068606.0	149196.0
SRX3411520	1540907.0	15260.0	82166.0	62.0	5129486.0	141283.0
SRX3411521	680796.0	17144.0	419858.0	1329.0	9153570.0	221063.0
SRX3411522	323960.0	65896.0	50306.0	300.0	7369072.0	274370.0
SRX3411523	431120.0	36752.0	33793.0	660.0	8319948.0	221373.0
SRX3411524	3743384.0	22049.0	38358.0	123.0	8433120.0	213700.0
SRX3411525	459422.0	10932.0	213863.0	115.0	7948162.0	55222.0
SRX3541437	3218126.0	1113618.0	1772179.0	14395.0	53426380.0	21136986.0
SRX3541438	1090464.0	2372520.0	3854377.0	33893.0	14253680.0	42858466.0
SRX3541439	2684080.0	1602235.0	2379184.0	22184.0	28064578.0	30685843.0
SRX3541440	1179755.0	1991978.0	3090022.0	30537.0	15643888.0	39277104.0
SRX3541441	1636294.0	485444.0	826913.0	6742.0	50544802.0	9040965.0
SRX3541442	1525833.0	1953403.0	4295413.0	21889.0	24187276.0	37980736.0
SRX3541443	1663722.0	299246.0	776276.0	3309.0	47905510.0	6091651.0
SRX3541444	1604534.0	350933.0	808074.0	4239.0	47190996.0	7090198.0
SRX3541445	2899951.0	986185.0	2067721.0	11212.0	40579074.0	19135775.0
SRX3541446	1825074.0	887078.0	1948634.0	10083.0	52537688.0	15923483.0
SRX3541447	1063841.0	288967.0	600992.0	2986.0	53985510.0	5165632.0
SRX3541448	1270580.0	1125301.0	2520729.0	11348.0	28811522.0	19999434.0
SRX3541449	2071414.0	257117.0	1220702.0	3597.0	63573930.0	5751444.0
SRX3541450	4001805.0	304916.0	1930755.0	4534.0	47072182.0	7499522.0
SRX3541451	2496252.0	1150526.0	6260309.0	15353.0	27215512.0	25870456.0
SRX3541452	1058861.0	130425.0	612952.0	1703.0	40141610.0	2807813.0
SRX3541453	621262.0	54285.0	301876.0	890.0	45381126.0	1277407.0
SRX5252024	108465.0	572897.0	3934609.0	6752.0	2032255.0	7043174.0
SRX5252025	29172.0	663923.0	1227578.0	9995.0	2037427.0	8055171.0
SRX5252026	19869.0	467614.0	880492.0	7907.0	1822136.0	5818814.0
SRX5252027	30797.0	469091.0	3209258.0	5454.0	1728960.0	5895531.0
SRX5252028	57532.0	626163.0	3835162.0	7801.0	2251009.0	8284452.0
SRX5252029	92263.0	543026.0	909851.0	8234.0	1640725.0	6757966.0
SRX5252030	30106.0	600507.0	1074207.0	9797.0	1985111.0	7697478.0
SRX5252031	34230.0	449202.0	1826897.0	4793.0	1242705.0	6271547.0
SRX5252032	49122.0	576669.0	3658182.0	7150.0	2091227.0	7312905.0
SRX5252033	49543.0	656592.0	3867450.0	7742.0	2215514.0	8929696.0
SRX5252034	40546.0	437219.0	2657025.0	5141.0	1822320.0	5757083.0
SRX5252035	30349.0	510195.0	2673058.0	5964.0	1459394.0	7487167.0
SRX5252036	23409.0	593244.0	1050940.0	9635.0	2037647.0	7349785.0
SRX5252037	40347.0	557535.0	952221.0	8832.0	1788300.0	7072025.0
SRX5252038	21100.0	354993.0	2127930.0	4615.0	1748655.0	4869654.0
SRX5252039	26806.0	407203.0	709559.0	6679.0	1445597.0	4997220.0
SRX5252040	226377.0	670964.0	3179282.0	8313.0	2158756.0	8978731.0
SRX5252041	22351.0	508063.0	929377.0	8783.0	1819760.0	6371824.0
SRX5252042	26322.0	555242.0	1005912.0	8981.0	1793230.0	7096919.0
SRX5252043	19022.0	481123.0	831165.0	7711.0	2219358.0	6141230.0
SRX5252044	33836.0	516146.0	913939.0	8482.0	1786298.0	6462679.0
SRX5252045	29244.0	695331.0	1234076.0	10812.0	2257047.0	8520539.0
SRX5252046	18087.0	440678.0	817888.0	7460.0	1568553.0	5444355.0
SRX5252047	16539.0	358750.0	674722.0	5705.0	1593430.0	4512910.0
SRX5252048	29385.0	541074.0	992711.0	8855.0	1873836.0	6682434.0
SRX5252049	34721.0	610860.0	1120010.0	10544.0	2381467.0	7908434.0
SRX5252050	29299.0	497990.0	935355.0	8684.0	1938113.0	6227653.0
SRX5252051	22509.0	407589.0	776500.0	6776.0	1951058.0	5104723.0
SRX5252052	31223.0	594657.0	1015345.0	9427.0	2183374.0	7285948.0
SRX5252053	51340.0	678541.0	4168476.0	7976.0	2347248.0	8131219.0
SRX5252054	67681.0	480536.0	3189739.0	5446.0	1836369.0	5646410.0
SRX5252055	26446.0	635122.0	3745712.0	6894.0	2131525.0	6985394.0
SRX5252056	45012.0	684586.0	4084488.0	7890.0	2229898.0	8712858.0
SRX5252057	47967.0	632534.0	3715689.0	7071.0	2010341.0	7655133.0
SRX5252058	45487.0	828549.0	2787185.0	8833.0	1910753.0	10215224.0
SRX5252059	61251.0	673175.0	2561587.0	8692.0	1667316.0	10491842.0
SRX5252060	35496.0	590830.0	1114594.0	9548.0	1985289.0	7196101.0
SRX5252061	70479.0	574156.0	3380262.0	6734.0	1994461.0	7275733.0
SRX5329169	1608303.0	351782.0	809967.0	4246.0	47466770.0	7107496.0
SRX5329170	1182473.0	1989993.0	3100271.0	29583.0	15877736.0	39382350.0
SRX5329171	1250581.0	2229760.0	3680239.0	28648.0	18360860.0	41046308.0
