Sample	per_sequence_gc_content	per_base_sequence_quality	per_sequence_quality_scores	sequence_length_distribution	total_deduplicated_percentage	Encoding	sequence_duplication_levels	Total Sequences	Sequence length	per_base_sequence_content	%GC	per_tile_sequence_quality	per_base_n_content	Sequences flagged as poor quality	File type	median_sequence_length	adapter_content	Filename	Total Bases	basic_statistics	overrepresented_sequences	avg_sequence_length
SRX2116174	fail	pass	pass	warn	37.72816778643681	Sanger / Illumina 1.9	fail	3634694.0	20-151	warn	38.0		pass	0.0	Conventional base calls	151	fail	SRX2116174_val_2.fq.gz	526.9 Mbp	pass	fail	145.11154143925182
SRX2116175	fail	pass	pass	warn	42.5619639258188	Sanger / Illumina 1.9	fail	3899675.0	20-151	fail	37.0		pass	0.0	Conventional base calls	151	fail	SRX2116175_val_2.fq.gz	564.9 Mbp	pass	fail	145.02499310840005
SRX2116176	warn	pass	pass	warn	22.917147591666804	Sanger / Illumina 1.9	fail	3467070.0	20-151	warn	48.0		pass	0.0	Conventional base calls	151	pass	SRX2116176_val_2.fq.gz	504.7 Mbp	pass	warn	145.6424606367913
SRX21659709	warn	pass	pass	warn	12.324223285278654	Sanger / Illumina 1.9	fail	10232653.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX21659709_val_2.fq.gz	1.5 Gbp	pass	warn	146.7756559320442
SRX21659710	pass	pass	pass	warn	11.27605423193706	Sanger / Illumina 1.9	fail	11198822.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX21659710_val_1.fq.gz	1.6 Gbp	pass	warn	147.3449282433456
SRX21659711	pass	pass	pass	warn	7.82684654764359	Sanger / Illumina 1.9	fail	25087324.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX21659711_val_1.fq.gz	3.6 Gbp	pass	fail	146.68645603652266
SRX22720559	pass	pass	pass	warn	22.11694325011853	Sanger / Illumina 1.9	fail	18140890.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720559_val_1.fq.gz	1.8 Gbp	pass	warn	99.22680959974952
SRX22720560	pass	pass	pass	warn	23.50573929220125	Sanger / Illumina 1.9	fail	18112038.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720560_val_1.fq.gz	1.8 Gbp	pass	warn	99.22400118639327
SRX22720561	pass	pass	pass	warn	21.24066928269857	Sanger / Illumina 1.9	fail	18098585.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720561_val_1.fq.gz	1.8 Gbp	pass	warn	99.24319950979593
SRX22720562	pass	pass	pass	warn	22.48989099329067	Sanger / Illumina 1.9	fail	18035011.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720562_val_1.fq.gz	1.7 Gbp	pass	warn	99.2292559178367
SRX22720563	pass	pass	pass	warn	20.1173137092296	Sanger / Illumina 1.9	fail	18040233.0	18-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720563_val_1.fq.gz	1.7 Gbp	pass	warn	99.2764230927616
SRX22720564	pass	pass	pass	warn	20.84791674052391	Sanger / Illumina 1.9	fail	18145210.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720564_val_1.fq.gz	1.8 Gbp	pass	warn	99.24434084808057
SRX22720565	pass	pass	pass	warn	22.671384663810652	Sanger / Illumina 1.9	fail	18051842.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720565_val_1.fq.gz	1.7 Gbp	pass	warn	99.22331427452113
SRX22720566	pass	pass	pass	warn	23.497257112852097	Sanger / Illumina 1.9	fail	18113583.0	18-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720566_val_1.fq.gz	1.8 Gbp	pass	warn	99.27251113156353
SRX22720567	pass	pass	pass	warn	22.446158513842892	Sanger / Illumina 1.9	fail	18023406.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720567_val_1.fq.gz	1.7 Gbp	pass	warn	99.23038819632649
SRX22720568	pass	pass	pass	warn	20.49004460713396	Sanger / Illumina 1.9	fail	18036550.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720568_val_2.fq.gz	1.7 Gbp	pass	pass	99.2675587071807
SRX22720569	pass	pass	pass	warn	20.7609428861943	Sanger / Illumina 1.9	fail	18089369.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720569_val_2.fq.gz	1.8 Gbp	pass	warn	99.2699432467766
SRX22720570	pass	pass	pass	warn	21.973381840734728	Sanger / Illumina 1.9	fail	18117784.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720570_val_1.fq.gz	1.8 Gbp	pass	warn	99.23823244608722
SRX22720571	pass	pass	pass	warn	21.714033885874727	Sanger / Illumina 1.9	fail	18133602.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720571_val_1.fq.gz	1.8 Gbp	pass	warn	99.22499192383289
SRX22720572	pass	pass	pass	warn	21.202019992852197	Sanger / Illumina 1.9	fail	18064867.0	20-100	fail	49.0		pass	0.0	Conventional base calls	100	pass	SRX22720572_val_1.fq.gz	1.7 Gbp	pass	warn	99.23390313363502
