Sample	per_sequence_gc_content	per_base_sequence_quality	per_sequence_quality_scores	sequence_length_distribution	total_deduplicated_percentage	Encoding	sequence_duplication_levels	Total Sequences	Sequence length	per_base_sequence_content	%GC	per_tile_sequence_quality	per_base_n_content	Sequences flagged as poor quality	File type	median_sequence_length	adapter_content	Filename	Total Bases	basic_statistics	overrepresented_sequences	avg_sequence_length
SRX7101039	pass	pass	pass	warn	11.14903701528005	Sanger / Illumina 1.9	fail	80913728.0	20-126	fail	49.0		pass	0.0	Conventional base calls	122	pass	SRX7101039_trimmed.fq.gz	8.8 Gbp	pass	pass	109.84260114674237
SRX7101040	warn	pass	pass	warn	10.514543969402341	Sanger / Illumina 1.9	fail	82979739.0	20-126	fail	49.0		pass	0.0	Conventional base calls	122	pass	SRX7101040_trimmed.fq.gz	9.1 Gbp	pass	pass	110.56085147484013
SRX7101041	warn	pass	pass	warn	12.000325884238842	Sanger / Illumina 1.9	fail	69618645.0	20-126	fail	49.0		pass	0.0	Conventional base calls	122	pass	SRX7101041_trimmed.fq.gz	7.8 Gbp	pass	pass	112.56772483865493
SRX7551986	warn	pass	pass	warn	21.56759472011401	Sanger / Illumina 1.9	fail	6752546.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX7551986_val_1.fq.gz	1 Gbp	pass	warn	148.08515010486414
SRX7551987	warn	pass	pass	warn	21.375091406505625	Sanger / Illumina 1.9	fail	6417511.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX7551987_val_1.fq.gz	953.8 Mbp	pass	warn	148.0914965319109
SRX7551988	warn	pass	pass	warn	24.759635613859672	Sanger / Illumina 1.9	fail	4261001.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX7551988_val_2.fq.gz	630.5 Mbp	pass	warn	147.47682575056893
SRX7551989	warn	pass	pass	warn	23.262561702178708	Sanger / Illumina 1.9	fail	5791989.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX7551989_val_2.fq.gz	857.3 Mbp	pass	warn	147.50579136113691
SRX7551990	pass	pass	pass	warn	20.28789542825824	Sanger / Illumina 1.9	fail	6027975.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX7551990_val_1.fq.gz	893.2 Mbp	pass	warn	147.6550878197073
SRX7551991	warn	pass	pass	warn	21.21086721603019	Sanger / Illumina 1.9	fail	5268866.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX7551991_val_1.fq.gz	782.1 Mbp	pass	warn	147.90950253811732
SRX8694706	warn	pass	pass	warn	17.170966019235927	Sanger / Illumina 1.9	fail	3829945.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694706_val_1.fq.gz	570.5 Mbp	pass	warn	148.4020253554555
SRX8694707	pass	pass	pass	warn	16.71990599295544	Sanger / Illumina 1.9	fail	4390763.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694707_val_1.fq.gz	654.7 Mbp	pass	warn	148.5449635974431
SRX8694708	pass	pass	pass	warn	22.112615185709434	Sanger / Illumina 1.9	fail	4377427.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX8694708_val_2.fq.gz	652.5 Mbp	pass	warn	148.54178402061302
SRX8694709	pass	pass	pass	warn	20.6984382997958	Sanger / Illumina 1.9	fail	4242843.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX8694709_val_2.fq.gz	632.3 Mbp	pass	warn	148.515687240843
SRX8694710	warn	pass	pass	warn	12.659664264222602	Sanger / Illumina 1.9	fail	5315324.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694710_val_1.fq.gz	792 Mbp	pass	warn	148.43825475173293
SRX8694711	warn	pass	pass	warn	13.951413548518435	Sanger / Illumina 1.9	fail	4167804.0	21-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694711_val_1.fq.gz	621.1 Mbp	pass	warn	148.46322355849748
SRX8694712	warn	pass	pass	warn	13.37452901578631	Sanger / Illumina 1.9	fail	4956322.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694712_val_1.fq.gz	738.6 Mbp	pass	warn	148.45815162937356
SRX8694713	warn	pass	pass	warn	14.872249170900925	Sanger / Illumina 1.9	fail	3868503.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694713_val_1.fq.gz	576.2 Mbp	pass	warn	148.3822918064171
SRX8694714	warn	pass	pass	warn	15.191184387764942	Sanger / Illumina 1.9	fail	4181433.0	21-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694714_val_1.fq.gz	623.1 Mbp	pass	warn	148.44185091570282
SRX8694715	warn	pass	pass	warn	15.048069341099621	Sanger / Illumina 1.9	fail	4432192.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694715_val_1.fq.gz	660.2 Mbp	pass	warn	148.37712490794624
SRX8694716	warn	pass	pass	warn	14.731633337945214	Sanger / Illumina 1.9	fail	4129134.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694716_val_1.fq.gz	614.8 Mbp	pass	warn	148.34281691996432
SRX8694717	warn	pass	pass	warn	13.576766887180042	Sanger / Illumina 1.9	fail	4956273.0	21-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694717_val_1.fq.gz	737.9 Mbp	pass	warn	148.3227594605866
SRX8694718	warn	pass	pass	warn	21.350290394675977	Sanger / Illumina 1.9	fail	4257227.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX8694718_val_2.fq.gz	634.6 Mbp	pass	pass	148.54142191619098
SRX8694719	warn	pass	pass	warn	20.003849734767343	Sanger / Illumina 1.9	fail	4145764.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX8694719_val_2.fq.gz	617.5 Mbp	pass	warn	148.42874871796852
SRX8694720	warn	pass	pass	warn	18.899633856011075	Sanger / Illumina 1.9	fail	3748460.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694720_val_2.fq.gz	558.3 Mbp	pass	warn	148.42786984521643
SRX8694721	warn	pass	pass	warn	20.911102654052886	Sanger / Illumina 1.9	fail	4174584.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX8694721_val_2.fq.gz	621.7 Mbp	pass	warn	148.4146494596827
SRX8694722	warn	pass	pass	warn	17.104172384273788	Sanger / Illumina 1.9	fail	4698305.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX8694722_val_2.fq.gz	699.8 Mbp	pass	warn	148.4435297410449
SRX8694723	warn	pass	pass	warn	18.887523978612048	Sanger / Illumina 1.9	fail	4304229.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX8694723_val_2.fq.gz	642.2 Mbp	pass	pass	148.68624601525616
SRX8694724	warn	pass	pass	warn	20.74508573240039	Sanger / Illumina 1.9	fail	4217295.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX8694724_val_2.fq.gz	628.5 Mbp	pass	pass	148.52151485727225
SRX8694725	warn	pass	pass	warn	19.972131139700668	Sanger / Illumina 1.9	fail	4385694.0	20-150	fail	48.0		pass	0.0	Conventional base calls	150	pass	SRX8694725_val_2.fq.gz	653.3 Mbp	pass	pass	148.4577198044369
SRX8694726	warn	pass	pass	warn	16.884223601676553	Sanger / Illumina 1.9	fail	5220168.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694726_val_2.fq.gz	779 Mbp	pass	warn	148.7177903086644
SRX8694727	warn	pass	pass	warn	16.920183992465105	Sanger / Illumina 1.9	fail	5403074.0	20-150	fail	49.0		pass	0.0	Conventional base calls	150	pass	SRX8694727_val_2.fq.gz	805.5 Mbp	pass	warn	148.5663265022837
