Sample	Not aligned	Aligned
SRX6700178	6019661.0	23173877.0
SRX6700179	11098438.0	29158630.0
SRX6700180	16582676.0	31409355.0
SRX6700181	7186859.0	26547338.0
SRX6700182	12958237.0	30914020.0
SRX6700183	7838258.0	22262135.0
SRX6700184	11166506.0	28834415.0
SRX6700185	10033472.0	28546135.0
SRX6922015	3109446.0	6343128.0
SRX6922016	1903845.0	3912243.0
SRX6922017	3267874.0	7455081.0
SRX6922018	2397609.0	5698386.0
SRX6922019	5227587.0	9260160.0
SRX6922020	3384443.0	5474814.0
SRX6922021	4139478.0	6815894.0
SRX6922023	2551519.0	6322216.0
SRX6922024	2664740.0	6902112.0
SRX6922025	2717178.0	6695534.0
SRX6922026	3702780.0	8224488.0
SRX6922027	3683051.0	8284296.0
SRX6922028	3066499.0	6887070.0
SRX6922029	2781301.0	6641296.0
SRX7101023	7236353.0	31077148.0
SRX7101024	5113390.0	30039078.0
SRX7101025	5425348.0	30686036.0
SRX7101026	4637655.0	27229367.0
SRX7101027	5150731.0	30722601.0
SRX7101028	5464560.0	32762212.0
SRX7101029	6966758.0	33861193.0
SRX7101030	6347423.0	29821138.0
SRX7101031	6253072.0	28688876.0
SRX7101032	6909824.0	31303757.0
SRX7101033	6388754.0	31408460.0
SRX7101034	7475754.0	32637788.0
SRX7101035	11445416.0	22698139.0
SRX7101036	15742573.0	63407113.0
SRX7101037	16248168.0	55038062.0
SRX7101038	14141944.0	65668558.0
SRX7101039	14931815.0	65981913.0
SRX7101040	13687642.0	69292097.0
SRX7101041	13879616.0	55739029.0
SRX7551986	1806708.0	4945838.0
SRX7551987	1752402.0	4665109.0
SRX7551988	1117297.0	3143704.0
SRX7551989	1556825.0	4235164.0
SRX7551990	1553126.0	4474849.0
SRX7551991	1403956.0	3864910.0
SRX8694706	1018989.0	2810956.0
SRX8694707	1177427.0	3213336.0
SRX8694708	1159956.0	3217471.0
SRX8694709	1072248.0	3170595.0
SRX8694710	1156287.0	4159037.0
SRX8694711	885988.0	3281816.0
SRX8694712	1165498.0	3790824.0
SRX8694713	862635.0	3005868.0
SRX8694714	949173.0	3232260.0
SRX8694715	1038905.0	3393287.0
SRX8694716	905664.0	3223470.0
SRX8694717	1090893.0	3865380.0
SRX8694718	1048540.0	3208687.0
SRX8694719	887759.0	3258005.0
SRX8694720	779416.0	2969044.0
SRX8694721	975777.0	3198807.0
SRX8694722	1044235.0	3654070.0
SRX8694723	999569.0	3304660.0
SRX8694724	1035001.0	3182294.0
SRX8694725	1036562.0	3349132.0
SRX8694726	1197598.0	4022570.0
SRX8694727	1237936.0	4165138.0
