Sample	Undetermined	Sense	Antisense
SRX5252058	52.959999999999994	7.7299999999999995	39.31
SRX5252059	54.449999999999996	4.55	40.99
SRX5252060	49.120000000000005	20.03	30.84
SRX5252061	51.870000000000005	13.29	34.839999999999996
SRX5329169	46.26	3.0700000000000003	50.67
SRX5329170	59.28	2.5100000000000002	38.21
SRX5329171	57.14	2.82	40.04
SRX5329172	51.39	3.35	45.26
SRX5329173	51.470000000000006	3.3300000000000005	45.2
SRX5329174	60.529999999999994	2.85	36.620000000000005
SRX5329175	55.96	2.53	41.510000000000005
SRX5329176	46.52	2.75	50.73
SRX5329177	59.21999999999999	2.94	37.84
SRX5329178	44.03	3.32	52.66
SRX5329179	51.0	2.37	46.64
SRX5329180	54.35	4.06	41.589999999999996
SRX5329181	55.08	6.569999999999999	38.35
SRX5329182	59.64	3.4799999999999995	36.88
SRX5329183	53.2	4.81	41.99
SRX5329184	52.87	2.4299999999999997	44.71
SRX5329185	45.269999999999996	5.47	49.26
SRX5329186	42.68	5.36	51.970000000000006
SRX5329187	56.81	4.33	38.86
SRX5329188	48.63	3.11	48.27
SRX5329189	41.99	5.029999999999999	52.980000000000004
SRX5329190	45.87	5.390000000000001	48.730000000000004
SRX5329191	43.95	3.0300000000000002	53.02
SRX5329192	49.27	3.4799999999999995	47.25
SRX5329193	52.949999999999996	2.97	44.09
SRX5329194	53.800000000000004	2.6100000000000003	43.59
SRX6700162	59.06	2.88	38.07
SRX6700163	65.36	3.2300000000000004	31.419999999999998
SRX6700164	58.64	3.0300000000000002	38.33
SRX6700165	64.83	3.4799999999999995	31.680000000000003
SRX6700166	57.709999999999994	3.64	38.65
SRX6700168	58.13	3.25	38.62
SRX6700169	55.910000000000004	3.2399999999999998	40.839999999999996
SRX6700170	56.589999999999996	3.29	40.12
SRX6700171	58.52	6.03	35.449999999999996
SRX6700172	58.730000000000004	6.12	35.15
SRX6700173	57.3	7.000000000000001	35.699999999999996
SRX6700174	61.53999999999999	3.02	35.44
SRX6700175	59.34	3.08	37.580000000000005
SRX6700176	59.53000000000001	3.44	37.03
SRX6700177	59.160000000000004	3.25	37.59
SRX6700178	58.48	2.85	38.67
SRX6700179	53.290000000000006	2.6599999999999997	44.05
SRX6700180	46.37	2.19	51.44
SRX6700181	56.19	2.79	41.02
SRX6700182	49.18	2.31	48.52
SRX6700183	57.47	4.08	38.45
SRX6700184	55.65	4.79	39.57
SRX6700185	56.76	4.14	39.1
SRX6922015	60.660000000000004	2.73	36.620000000000005
SRX6922016	61.27	2.1	36.63
SRX6922017	60.099999999999994	2.76	37.14
SRX6922018	59.37	2.8899999999999997	37.74
SRX6922019	65.74	3.49	30.769999999999996
SRX6922020	63.160000000000004	4.03	32.800000000000004
SRX6922021	63.480000000000004	3.8699999999999997	32.64
SRX6922023	60.91	2.5100000000000002	36.57
SRX6922024	60.39	2.63	36.980000000000004
