Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>50	>500	>10k+	>1k	>10	>5k	>100
SRX2037717										7.368162986701379	6.248596020111829	3.910839013371574	16.59217412227461	18.19987793437848	6.032113515334904	15.046115863760578
SRX2116174										3.7880134511617367	7.490387354360441	3.1256676937886585	9.183297430950125	10.004576030339221	1.2019767706242717	12.882754531943197
SRX2116175										3.3918247007665556	6.929863755111965	2.430066943795141	8.817546742453791	9.404065560640024	1.2908778776389833	11.779067382890366
SRX2116176										7.049070273343232	7.437987945820833	1.2846208300381696	8.162728389042654	19.718073166420492	0.9739561944581945	16.611982663614203
SRX21659709										8.714110420080363	7.356943499593978	6.409355633718758	11.1000350910364	19.297316694442284	3.9797926214599073	21.255575119808977
SRX21659710										8.226686431036844	8.401811086620906	6.023622523065962	16.29978389975315	17.135409103799347	4.489661954715919	20.30708046154547
SRX21659711										6.8880766513688645	8.310787050845866	15.457063728515308	18.59526150337168	12.835722190239448	6.4548414297041585	18.545520746158438
SRX22720559										9.109918975588949	7.582228397921438	0.35104604686137497	9.453031527309236	19.861111551073524	1.029455549350901	20.80294561439131
SRX22720560										8.974991253134998	7.295055431487521	0.35714576737911746	8.987534805383753	19.7062012528101	0.8845464259640692	20.332526433607594
SRX22720561										8.927784571101647	7.504358045236646	1.3911783878512403	10.177598022653484	19.795632065736093	1.270575823099254	20.31655592258671
SRX22720562										8.926977181224892	7.107575961493741	1.5291604503226652	9.768147132314658	20.066736849182963	1.1457092241352085	19.304610781389083
SRX22720563										8.987232829389725	8.296143574762882	1.1946644329283027	10.3086023217319	19.57877449939869	0.7537290816114108	21.26118363124368
SRX22720564										9.145930865243711	7.939605425881463	0.8884154426247444	10.300128818699886	19.729230572052877	0.846952578102283	20.961307147745963
SRX22720565										9.169567364756345	7.252718872283458	0.8302739089080836	9.087780383296566	20.335979707974225	0.8297865946958067	20.101954169145564
SRX22720566										9.205894812240247	6.914873350976921	0.798069758780662	8.425350996298262	20.613834419286515	0.6425234363980262	20.020142772789328
SRX22720567										8.813607867037444	7.623856375505935	1.1098201223309672	9.963833556327906	19.14648560502332	1.3636811374118205	20.140493196380152
SRX22720568										9.43063264071526	7.609993798593215	0.30292311337285943	7.6356988310624985	21.34554981782452	0.5531964791759827	23.47805347026799
SRX22720569										9.791033202891418	7.165594494085053	0.24107915546898745	6.260058532199652	22.57414257911098	0.37873370693378333	23.139145968611313
SRX22720570										8.998323375654605	7.525008703580942	1.0549393209610252	9.420277396551732	19.937586601060637	0.7605092097513245	20.473413999192307
SRX22720571										8.667072791788417	8.070394828379523	0.5692157048142422	10.953133309209655	18.894872677943326	1.3013096608773782	20.466461788518327
SRX22720572										9.082449482859893	6.845526727531374	2.2508086891755794	9.900969617674402	20.275738208611145	1.2807677449225072	19.30271447063033
SRX22720574										9.755130136320352	6.818576604676677	0.24165138195491545	7.796258547556537	22.195545814490035	0.8331887333212125	20.748031320530636
SRX22720575										9.731261869514036	6.790522514756297	0.2034283725030285	8.114775946830747	21.578121248135382	0.8637215613872172	20.715192180396507
SRX22720576										9.199314966201035	7.650194643966267	0.3540737152085034	9.702284178281658	19.31542133377527	0.9682868010656124	20.66884021362572
SRX22720577										9.237019359944632	7.759869371570942	0.29349085797512636	9.454357410176707	19.622908000833085	0.9426256575596971	21.368747757890723
SRX22720578										9.29515570897749	7.6243883576635305	0.0	6.367633615376215	21.302024967519127	0.2561544643807526	23.452885093800283
SRX22720579										9.159214723075271	7.999756720956114	0.0	6.923792238531911	20.599045127580347	0.3600492099622043	23.56848531527575
SRX3316529										10.616062442076178	8.422906093561922	1.9958915479393495	13.314536333092544	22.410252692943697	2.6445589495425437	22.847589502673948
SRX3316530										9.686059910398559	10.673826598779309	1.4333004741387483	16.523316557685455	19.32349166743945	2.393888293282956	24.42547211580334
SRX3316531										11.19095114246348	9.65724972856933	1.5908869244802764	12.40335912383275	21.532427448411724	1.5755759171071118	25.653268461200458
SRX3316532										9.06305055767078	9.9335998580763	3.544115471196694	18.500692767495163	17.473280893754982	3.703588977203386	22.603757668649678
SRX3316533										10.064343376439487	9.17425102049912	4.28153449436552	15.531203523651504	19.468834687813512	2.7534329206927355	23.40159955939422
SRX3316534										10.383564448892601	9.328273717809438	3.0523794954567216	13.934614691021885	19.99532955762139	2.485941445132203	24.075173117020555
SRX3316535										10.30485961498582	9.827536192152545	2.1133537468621495	14.06112420369045	20.94144741955747	2.5013562349198533	24.232367872210393
SRX3316536										11.984220327356063	6.24868510954962	2.64136166959769	6.714562536639019	26.0241135787663	1.0563634829303004	23.045220034106613
SRX3316537										9.660671849078833	9.057958893640336	2.500088728144055	14.864082010216265	20.80891845884737	2.5497364612599775	22.232450623638695
SRX3316538										11.113431869581374	9.87136348613144	1.0317214513203847	11.359630200109699	22.202449198217032	1.4676009103052332	26.892653470830236
