Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRX6700166	0.12873733094796866	0.0
SRX6700168	0.4649553872550222	0.8796483894006213
SRX6700169	0.6032956299928168	1.1051983537383174
SRX6700170	0.45210629897963633	0.7944057329622269
SRX6700171	0.23423449515230338	0.20673649859551696
SRX6700172	0.2013633654211798	0.10413234572337124
SRX6700173	0.22509089450450742	0.230674637686401
SRX6700174	0.11846558029211536	0.11507218782378416
SRX6700175	0.1108862821456792	0.0
SRX6700176	0.0	0.0
SRX6700177	0.11983401438986772	0.11674423896316306
SRX6700178	0.11931407560125121	0.22258350460982154
SRX6700179	0.13680330619209527	0.11235045731596746
SRX6700180	0.3386103830446351	0.6954737964725851
SRX6700181	0.6222558076601022	1.9057634601469844
SRX6700182	0.3799850096611168	1.009389601268975
SRX6700183	0.5460726044341015	2.7695319459782466
SRX6700184	0.36078919282883515	1.352226364987946
SRX6700185	0.42664250053143365	2.129943936442899
SRX6922015	0.12495009295880677	0.0
SRX6922016	0.24442546261335799	0.4431157162683921
SRX6922017	0.0	0.0
SRX6922018	0.1471468300066885	0.22104756734657072
SRX6922019	0.641859634903895	3.0230925484825213
SRX6922020	0.6104349382798129	2.408249359963256
SRX6922021	0.6115447289238558	2.1191886500978696
SRX6922023	0.14963259551924868	0.10234698241495832
SRX6922024	0.1938777771413209	0.23102688324226192
SRX6922025	0.21235112685908164	0.23092175772508494
SRX6922026	0.1423209405540313	0.10942992142039568
SRX6922027	0.12946896250271678	0.10723345784157506
SRX6922028	0.0	0.0
SRX6922029	0.0	0.0
SRX7101023	0.0	0.0
SRX7101024	0.10595557614902032	0.0
SRX7101025	0.0	0.0
SRX7101026	0.28294454373552697	0.6954430821932467
SRX7101027	0.5341656024592307	1.2178573208644239
SRX7101028	0.17089855245951713	0.24613901482447959
SRX7101029	0.11013778281452331	0.0
SRX7101030	0.1656466233201813	0.10776762724953312
SRX7101031	0.13891040075956843	0.0
SRX7101032	0.5083611504506735	1.3605581743307436
SRX7101033	0.2546060669974247	0.9314337294806968
SRX7101034	0.25367991687196306	0.7615906867561084
SRX7101035	0.20306614235102352	0.9146762837085946
SRX7101036	0.0	0.0
SRX7101037	0.0	0.0
SRX7101038	0.0	0.0
SRX7101039	0.0	0.0
SRX7101040	0.0	0.0
SRX7101041	0.0	0.0
SRX7551986	0.26512962666229895	0.4404412794818428
SRX7551987	0.20109042275112576	0.3931586560584003
SRX7551988	0.1110537171899279	0.10063363045444018
SRX7551989	0.10129508187947181	0.0
SRX7551990	0.29568802126750693	0.5791165358184133
SRX7551991	0.28763305045146337	0.5061430675974679
SRX8694706	0.35911742857926154	2.9772229105117702
SRX8694707	0.36305762802501523	1.8717703506201542
SRX8694708	0.15308079380878312	0.0
SRX8694709	0.1578422769826741	0.0
SRX8694710	0.26468753362918235	4.939134472329438
SRX8694711	0.2631121808991018	4.817980883937921
SRX8694712	0.34808069370795525	5.287428863580696
SRX8694713	0.3006330872691581	3.9494347038117854
SRX8694714	0.31156782854107673	4.271119494202107
SRX8694715	0.2984076502100992	4.104673263252134
SRX8694716	0.22331559111426272	3.4827884006670646
SRX8694717	0.26009463159111695	4.445800301960769
SRX8694718	0.0	0.0
SRX8694719	0.11590143577878528	0.21525586116334652
SRX8694720	0.10593683806149724	0.0
SRX8694721	0.22993907895972387	0.0
SRX8694722	0.12019228211025039	0.10588925154922892
SRX8694723	0.0	0.0
SRX8694724	0.0	0.0
SRX8694725	0.0	0.0
SRX8694726	0.11267836590699762	0.11231439294674042
SRX8694727	0.11169567546178343	0.10221958833064289
