Sample	Unassigned_Unmapped	Unassigned_MultiMapping	percent_assigned	Unassigned_MappingQuality	Unassigned_NonSplit	Assigned	Total	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_rRNA	Unassigned_Ambiguity	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_Secondary	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_NoFeatures	not_aligned_percentage	not_aligned	reads_aligned	reads_aligned_percentage	reads_processed	per_tile_sequence_quality	sequence_length_distribution	Total Sequences	File type	per_sequence_gc_content	%GC	overrepresented_sequences	adapter_content	per_base_sequence_content	per_base_sequence_quality	basic_statistics	per_base_n_content	per_sequence_quality_scores	Sequence length	median_sequence_length	total_deduplicated_percentage	Encoding	avg_sequence_length	sequence_duplication_levels	Sequences flagged as poor quality	Total Bases	Filename	quality_trimmed	r_processed	cutadapt_version	r_written	percent_trimmed	bp_written	r_with_adapters	bp_processed	pe_sense	se_antisense	pe_antisense	failed	se_sense
Kiley_B_WT_-O2_NoFe_DIP_A	281954	0	85.21489795024051	0	0	5483744	6435194	0	0	867	4620	0	0	0	0	318866	345143	4.38	140977.0	3076620.0	95.62	3217597.0	pass	warn	3217597.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	11.917501866222189	Sanger / Illumina 1.9	144.08622894663316	fail	0.0	465 Mbp	Kiley_B_WT_-O2_NoFe_DIP_A_val_2.fq.gz	729450	3221548	4.4	3221548	0.4213785745871087	465043046	889837	467010930	0.3298		0.2899	0.3803	
Kiley_B_WT_-O2_NoFe_DIP_B	298856	0	84.39497064296619	0	0	7269165	8613268	0	0	1310	5356	0	0	0	0	437243	601338	3.47	149428.0	4157206.0	96.53	4306634.0	pass	warn	4306634.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	9.117266510110168	Sanger / Illumina 1.9	143.24726155043592	fail	0.0	618.6 Mbp	Kiley_B_WT_-O2_NoFe_DIP_B_val_2.fq.gz	383722	4308031	4.4	4308031	0.3223967446298842	618735801	1150844	620737037	0.0205		0.5492	0.4303	
Kiley_B_WT_-O2_NoFe_DIP_C	446358	0	84.22481685051963	0	0	9877302	11727306	0	0	1914	7502	0	0	0	0	580519	813711	3.81	223179.0	5640474.0	96.19	5863653.0	pass	warn	5863653.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	7.333843051258605	Sanger / Illumina 1.9	143.4563916043463	fail	0.0	843.6 Mbp	Kiley_B_WT_-O2_NoFe_DIP_C_val_2.fq.gz	257194	5867384	4.4	5867384	0.3191734053258725	843995303	1722565	846697737	0.0164		0.5891	0.3945	
Kiley_B_WT_-O2_Peroxide_A	234818	0	87.12197629266251	0	0	7315540	8396894	0	0	1112	4940	0	0	0	0	366598	473886	2.8	117409.0	4081038.0	97.2	4198447.0	pass	warn	4198447.0	Conventional base calls	pass	48.0	warn	pass	fail	pass	pass	pass	pass	21-150	147	7.05578803739833	Sanger / Illumina 1.9	142.78237929405802	fail	0.0	601.2 Mbp	Kiley_B_WT_-O2_Peroxide_A_val_1.fq.gz	607622	4201360	4.4	4201360	0.3608166051926069	601353618	1121922	603531259	0.0162		0.6711	0.3126	
Kiley_B_WT_-O2_Peroxide_C	274868	0	85.418564223809	0	0	6523426	7637012	0	0	1090	3669	0	0	0	0	366438	467521	3.6	137434.0	3681072.0	96.4	3818506.0	pass	warn	3818506.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	21-150	147	7.887998875203205	Sanger / Illumina 1.9	142.6287160475851	fail	0.0	546.2 Mbp	Kiley_B_WT_-O2_Peroxide_C_val_1.fq.gz	176262	3819793	4.4	3819793	0.3101902780330979	546451296	1107481	548151609	0.0501		0.5195	0.4304	
SRX10341586	1016158	0	82.04010595895328	0	0	14912307	18176850	0	0	5002	12098	0	0	0	0	848827	1382458	5.59	508079.0	8580346.0	94.41	9088425.0	pass	warn	9088425.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	20.355745845586146	Sanger / Illumina 1.9	148.70563062356788	fail	0.0	1.3 Gbp	SRX10341586_val_1.fq.gz	682546	9090051	4.4	9090051	0.4915274219400236	1356805636	3035966	1363507650	0.0286		0.5543	0.4171	
SRX10341587	1121922	0	77.47199423294263	0	0	13798932	17811510	0	0	3897	9409	0	0	0	0	800295	2077055	6.3	560961.0	8344794.0	93.7	8905755.0	pass	warn	8905755.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	21.44069594877629	Sanger / Illumina 1.9	148.69729551284536	fail	0.0	1.3 Gbp	SRX10341587_val_1.fq.gz	1151766	8906657	4.4	8906657	0.5194308032744497	1329058962	2876126	1335998550	0.049		0.5101	0.4409	
SRX10341588	719942	0	81.69593188047729	0	0	12173019	14900398	0	0	11124	8366	0	0	0	0	679327	1308620	4.83	359971.0	7090228.0	95.17	7450199.0	pass	warn	7450199.0	Conventional base calls	warn	48.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	20.35216779710347	Sanger / Illumina 1.9	148.63190177873102	fail	0.0	1.1 Gbp	SRX10341588_val_2.fq.gz	697149	7450610	4.4	7450610	0.5496925307681743	1111448183	2406497	1117591500	0.0341		0.5445	0.4214	
SRX10341589	619018	0	66.26243832910791	0	0	10895216	16442522	0	0	1537	10211	0	0	0	0	557648	4358892	3.76	309509.0	7911752.0	96.24	8221261.0	pass	warn	8221261.0	Conventional base calls	warn	49.0	fail	pass	fail	pass	pass	pass	pass	20-150	150	18.335433752078924	Sanger / Illumina 1.9	148.73499892534733	fail	0.0	1.2 Gbp	SRX10341589_val_2.fq.gz	336798	8222245	4.4	8222245	0.4940062801177374	1227243989	2491332	1233336750	0.0553		0.4439	0.5009	
SRX10341590	2305804	0	75.05723468844185	0	0	18779164	25019792	0	0	2296	17316	0	0	0	0	962312	2952900	9.22	1152902.0	11356994.0	90.78	12509896.0	pass	warn	12509896.0	Conventional base calls	warn	49.0	warn	pass	fail	pass	pass	pass	pass	20-150	150	22.558093715821297	Sanger / Illumina 1.9	148.8118224963661	fail	0.0	1.8 Gbp	SRX10341590_val_1.fq.gz	1357594	12511522	4.4	12511522	0.4467036597679057	1868344886	3839576	1876728300	0.024		0.5252	0.4508	
