# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_B_Dfur_-O2_C_cds.txt" "Kiley_B_Dfur_-O2_C.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_B_Dfur_-O2_C.bam
ZMO1_ZMO0279	CP023715.1	285024	285800	+	777	32664
ZMO1_ZMO0281	CP023715.1	286193	286840	-	648	270
ZMO1_ZMO0282	CP023715.1	287065	288234	+	1170	1261
ZMO1_ZMO0283	CP023715.1	288238	291381	+	3144	2529
ZMO1_ZMO0285	CP023715.1	291381	292919	+	1539	1076
ZMO1_ZMO0286	CP023715.1	292966	293739	-	774	2378
ZMO1_ZMO0287	CP023715.1	294090	295238	+	1149	1734
ZMO1_ZMO0290	CP023715.1	295367	296623	+	1257	634
ZMO1_ZMO0291	CP023715.1	296613	297470	-	858	1285
ZMO1_ZMO0293	CP023715.1	297731	299173	-	1443	1173
ZMO1_ZMO0294	CP023715.1	299858	300145	-	288	14848
ZMO1_ZMO0296	CP023715.1	300451	300933	+	483	91
ZMO1_ZMO0297	CP023715.1	301182	302507	+	1326	3499
ZMO1_ZMO0298	CP023715.1	302605	303303	-	699	1471
ZMO1_ZMO0299	CP023715.1	303462	304715	-	1254	3889
ZMO1_ZMO0300	CP023715.1	304714	306348	+	1635	722
ZMO1_ZMO0301	CP023715.1	306494	307246	+	753	113
ZMO1_ZMO0302	CP023715.1	307218	307514	-	297	50
ZMO1_ZMO0303	CP023715.1	307520	308524	-	1005	265
ZMO1_ZMO0305	CP023715.1	308672	309145	-	474	506
ZMO1_ZMO0306	CP023715.1	309239	310507	-	1269	991
ZMO1_ZMO0307	CP023715.1	310535	312268	-	1734	862
ZMO1_ZMO0309	CP023715.1	312601	313617	+	1017	653
ZMO1_ZMO0311	CP023715.1	313683	314498	-	816	820
ZMO1_ZMO0312	CP023715.1	314701	315843	+	1143	572
ZMO1_ZMO0313	CP023715.1	315873	316355	+	483	173
ZMO1_ZMO0314	CP023715.1	316394	317812	-	1419	793
ZMO1_ZMO0315	CP023715.1	317877	318263	-	387	446
ZMO1_ZMO0318	CP023715.1	318604	319359	+	756	2711
ZMO1_ZMO0319	CP023715.1	319432	319680	-	249	76
ZMO1_ZMO0321	CP023715.1	320294	320791	+	498	112
ZMO1_ZMO0322	CP023715.1	321130	322074	+	945	2047
ZMO1_ZMO0323	CP023715.1	322193	325018	+	2826	8320
