# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_A_DZM0422_Aerobic_A_cds.txt" "Kiley_A_DZM0422_Aerobic_A.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_A_DZM0422_Aerobic_A.bam
ZMO1_ZMO0298	CP023715.1	302605	303303	-	699	14750
ZMO1_ZMO0299	CP023715.1	303462	304715	-	1254	24685
ZMO1_ZMO0300	CP023715.1	304714	306348	+	1635	9648
ZMO1_ZMO0301	CP023715.1	306494	307246	+	753	1662
ZMO1_ZMO0302	CP023715.1	307218	307514	-	297	456
ZMO1_ZMO0303	CP023715.1	307520	308524	-	1005	2130
ZMO1_ZMO0305	CP023715.1	308672	309145	-	474	2356
ZMO1_ZMO0306	CP023715.1	309239	310507	-	1269	6010
ZMO1_ZMO0307	CP023715.1	310535	312268	-	1734	5188
ZMO1_ZMO0309	CP023715.1	312601	313617	+	1017	3767
ZMO1_ZMO0311	CP023715.1	313683	314498	-	816	8009
ZMO1_ZMO0312	CP023715.1	314701	315843	+	1143	4428
ZMO1_ZMO0313	CP023715.1	315873	316355	+	483	1722
ZMO1_ZMO0314	CP023715.1	316394	317812	-	1419	8859
ZMO1_ZMO0315	CP023715.1	317877	318263	-	387	2073
ZMO1_ZMO0318	CP023715.1	318604	319359	+	756	6571
ZMO1_ZMO0319	CP023715.1	319432	319680	-	249	389
ZMO1_ZMO0321	CP023715.1	320294	320791	+	498	945
ZMO1_ZMO0322	CP023715.1	321130	322074	+	945	10563
ZMO1_ZMO0323	CP023715.1	322193	325018	+	2826	68755
ZMO1_ZMO0324	CP023715.1	325022	325546	+	525	4443
ZMO1_ZMO0325	CP023715.1	325631	326143	+	513	16098
ZMO1_ZMO0326	CP023715.1	326160	326603	-	444	6314
ZMO1_ZMO0327	CP023715.1	326798	328834	+	2037	39939
ZMO1_ZMO0328	CP023715.1	328990	329553	+	564	24764
ZMO1_ZMO0329	CP023715.1	329553	330368	+	816	39399
ZMO1_ZMO2048	CP023715.1	330354	330536	-	183	100
ZMO1_ZMO0331	CP023715.1	330814	331410	+	597	44183
ZMO1_ZMO0332	CP023715.1	331475	332191	-	717	9690
ZMO1_ZMO0335	CP023715.1	332580	333365	+	786	4204
ZMO1_ZMO0336	CP023715.1	333462	334136	+	675	3604
ZMO1_ZMO0339	CP023715.1	334277	335656	+	1380	41387
ZMO1_ZMO0341	CP023715.1	335843	336622	+	780	2992
ZMO1_ZMO0342	CP023715.1	336684	337886	-	1203	35416
ZMO1_ZMO0343	CP023715.1	338009	338680	-	672	3648
ZMO1_ZMO0344	CP023715.1	338983	340425	+	1443	22982
ZMO1_ZMO0345	CP023715.1	340714	341433	+	720	1336
ZMO1_ZMO0346	CP023715.1	341634	342983	+	1350	9010
ZMO1_ZMO0347	CP023715.1	343378	343863	+	486	8225
ZMO1_ZMO0348	CP023715.1	343860	345242	+	1383	17524
ZMO1_ZMO0349	CP023715.1	345263	345829	+	567	5685
ZMO1_ZMO0350	CP023715.1	345969	346595	+	627	3817
ZMO1_ZMO0351	CP023715.1	346818	352019	+	5202	11573
