# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-P" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "Kiley_A_DZM0422_Anaerobic_C_cds.txt" "Kiley_A_DZM0422_Anaerobic_C.bam" 
Geneid	Chr	Start	End	Strand	Length	Kiley_A_DZM0422_Anaerobic_C.bam
ZMO1_ZMO0361	CP023715.1	363840	364814	+	975	6512
ZMO1_ZMO0362	CP023715.1	364912	367134	+	2223	7680
ZMO1_ZMO0363	CP023715.1	367280	368467	+	1188	8847
ZMO1_ZMO0364	CP023715.1	368514	370709	+	2196	9272
ZMO1_ZMO0366	CP023715.1	371082	372503	+	1422	230896
ZMO1_ZMO0367	CP023715.1	372649	374106	+	1458	220327
ZMO1_ZMO0368	CP023715.1	374099	375922	+	1824	468481
ZMO1_ZMO0369	CP023715.1	376055	377029	+	975	236537
ZMO1_ZMO0371	CP023715.1	377532	378221	-	690	342
ZMO1_ZMO0372	CP023715.1	378393	378854	+	462	577
ZMO1_ZMO0373	CP023715.1	378851	379204	-	354	217
ZMO1_ZMO0374	CP023715.1	380042	381313	+	1272	1312
ZMO1_ZMO0375	CP023715.1	381469	382710	+	1242	591
ZMO1_ZMO0376	CP023715.1	383001	385427	-	2427	67967
ZMO1_ZMO0377	CP023715.1	385623	386243	+	621	654
ZMO1_ZMO0378	CP023715.1	386327	386833	+	507	249
ZMO1_ZMO0379	CP023715.1	386833	388119	+	1287	155
ZMO1_ZMO0380	CP023715.1	388162	390351	+	2190	700
ZMO1_ZMO0381	CP023715.1	390351	390650	+	300	169
ZMO1_ZMO0383	CP023715.1	390773	391624	+	852	140
ZMO1_ZMO0384	CP023715.1	391650	391757	+	108	27
ZMO1_ZMO0385	CP023715.1	391942	392061	+	120	266
ZMO1_ZMO0387	CP023715.1	392090	393004	+	915	305
ZMO1_ZMO0388	CP023715.1	393158	393484	+	327	161
ZMO1_ZMO0389	CP023715.1	393494	394153	+	660	93
ZMO1_ZMO0390	CP023715.1	394147	395568	+	1422	465
ZMO1_ZMO0391	CP023715.1	395565	395813	+	249	53
ZMO1_ZMO0392	CP023715.1	395792	396295	+	504	71
ZMO1_ZMO0393	CP023715.1	396296	396967	+	672	173
ZMO1_ZMO0394	CP023715.1	396980	397654	+	675	276
ZMO1_ZMO0395	CP023715.1	397834	398202	+	369	54
ZMO1_ZMO0397	CP023715.1	398199	398645	+	447	62
ZMO1_ZMO0398	CP023715.1	398650	399051	+	402	114
ZMO1_ZMO0399	CP023715.1	399056	400057	+	1002	561
ZMO1_ZMO0400	CP023715.1	400062	402716	+	2655	1630
ZMO1_ZMO0401	CP023715.1	402726	404777	-	2052	4389
ZMO1_ZMO0402	CP023715.1	404997	405662	-	666	2590
ZMO1_ZMO0403	CP023715.1	405659	406762	-	1104	6417
ZMO1_ZMO0405	CP023715.1	407713	410034	+	2322	20125
ZMO1_ZMO0406	CP023715.1	410124	410945	-	822	8442
ZMO1_ZMO0407	CP023715.1	411097	411789	+	693	30556
ZMO1_ZMO0408	CP023715.1	412024	413214	+	1191	62296
ZMO1_ZMO0409	CP023715.1	413245	414186	+	942	29555
ZMO1_ZMO0410	CP023715.1	414315	415238	+	924	9090
ZMO1_ZMO0411	CP023715.1	415313	417295	+	1983	11230
ZMO1_ZMO0412	CP023715.1	417491	418117	-	627	3966
ZMO1_ZMO0413	CP023715.1	418306	418632	-	327	5480
ZMO1_ZMO0414	CP023715.1	418656	419696	-	1041	19305
ZMO1_ZMO0416	CP023715.1	419902	420603	+	702	968
ZMO1_ZMO0417	CP023715.1	420600	421475	+	876	1890
ZMO1_ZMO0418	CP023715.1	421507	422118	+	612	2178
ZMO1_ZMO0419	CP023715.1	422167	422919	+	753	2017
ZMO1_ZMO0420	CP023715.1	422968	423849	-	882	17841
ZMO1_ZMO0421	CP023715.1	423850	424959	-	1110	31177
ZMO1_ZMO0422	CP023715.1	425526	425933	+	408	2
ZMO1_ZMO0423	CP023715.1	425933	427405	+	1473	278320
ZMO1_ZMO0425	CP023715.1	427420	428172	+	753	63623
ZMO1_ZMO0426	CP023715.1	428169	429284	+	1116	97189
ZMO1_ZMO0427	CP023715.1	429281	430504	+	1224	127295
ZMO1_ZMO0428	CP023715.1	430501	430935	+	435	16387
ZMO1_ZMO0429	CP023715.1	430974	431315	+	342	20843
ZMO1_ZMO0430	CP023715.1	431440	432108	+	669	32917
ZMO1_ZMO0431	CP023715.1	432142	432972	+	831	61065
ZMO1_ZMO0432	CP023715.1	433040	433912	-	873	3880
ZMO1_ZMO0433	CP023715.1	434260	434910	-	651	15925
ZMO1_ZMO0435	CP023715.1	435064	435507	-	444	12129
ZMO1_ZMO0436	CP023715.1	435636	436034	-	399	546
ZMO1_ZMO0437	CP023715.1	436192	436413	+	222	1006
ZMO1_ZMO0439	CP023715.1	436668	437792	+	1125	11964
ZMO1_ZMO0440	CP023715.1	437902	438192	+	291	3400
ZMO1_ZMO0441	CP023715.1	438219	438923	+	705	15030
ZMO1_ZMO0442	CP023715.1	438961	439596	+	636	9787
ZMO1_ZMO0443	CP023715.1	439680	440717	-	1038	11429
ZMO1_ZMO0444	CP023715.1	441046	442092	+	1047	10837
ZMO1_ZMO0445	CP023715.1	442089	443654	+	1566	11758
ZMO1_ZMO0446	CP023715.1	443686	445092	+	1407	9707
ZMO1_ZMO0447	CP023715.1	445110	445421	+	312	1520
ZMO1_ZMO0448	CP023715.1	445437	446087	-	651	22173
ZMO1_ZMO0449	CP023715.1	446920	447684	+	765	12109
ZMO1_ZMO0452	CP023715.1	447707	449191	+	1485	20437
ZMO1_ZMO0453	CP023715.1	449258	450622	+	1365	17128
ZMO1_ZMO0454	CP023715.1	450686	452359	-	1674	54306
ZMO1_ZMO0456	CP023715.1	452789	453106	+	318	623
ZMO1_ZMO0457	CP023715.1	453232	453726	+	495	2347
ZMO1_ZMO0458	CP023715.1	453723	454421	-	699	3387
ZMO1_ZMO0459	CP023715.1	454414	455664	-	1251	13060
ZMO1_ZMO0460	CP023715.1	455661	456992	-	1332	52776
ZMO1_ZMO0462	CP023715.1	457482	459116	-	1635	57798
ZMO1_ZMO0464	CP023715.1	459255	459614	-	360	9724
ZMO1_ZMO0465	CP023715.1	459863	460612	-	750	9420
ZMO1_ZMO0467	CP023715.1	460928	462856	+	1929	51179
ZMO1_ZMO0468	CP023715.1	462853	464403	+	1551	22301
ZMO1_ZMO0469	CP023715.1	464442	464873	-	432	4578
ZMO1_ZMO0471	CP023715.1	465127	466086	+	960	3243
