regulator,gene_id
ZCP4_1718,ZCP4_1261
ZCP4_0900,ZCP4_1258
ZCP4_0900,ZCP4_1258
ZCP4_1046,ZCP4_1258
ZCP4_1387,ZCP4_1258
ZCP4_1465,ZCP4_1258
ZCP4_1718,ZCP4_1258
ZCP4_0900,ZCP4_1257
ZCP4_1046,ZCP4_1257
ZCP4_1387,ZCP4_1257
ZCP4_1465,ZCP4_1257
ZCP4_1042,ZCP4_1241
ZCP4_1046,ZCP4_1241
ZCP4_1718,ZCP4_1241
ZCP4_0900,ZCP4_1239
ZCP4_1046,ZCP4_1239
ZCP4_1387,ZCP4_1239
ZCP4_1718,ZCP4_1239
ZCP4_0375,ZCP4_1236
ZCP4_1046,ZCP4_1236
ZCP4_0128,ZCP4_1227
ZCP4_0523,ZCP4_1227
ZCP4_1046,ZCP4_1227
ZCP4_1382,ZCP4_1227
ZCP4_1585,ZCP4_1227
ZCP4_1718,ZCP4_1227
ZCP4_1046,ZCP4_1902
ZCP4_1387,ZCP4_1902
ZCP4_0128,ZCP4_1805
ZCP4_1046,ZCP4_1805
ZCP4_1382,ZCP4_1805
ZCP4_1046,ZCP4_1798
ZCP4_0530,ZCP4_1791
ZCP4_0900,ZCP4_1791
ZCP4_1046,ZCP4_1791
ZCP4_0128,ZCP4_1772
ZCP4_0530,ZCP4_1772
ZCP4_0900,ZCP4_1772
ZCP4_1046,ZCP4_1772
ZCP4_1387,ZCP4_1772
ZCP4_1718,ZCP4_1772
ZCP4_0900,ZCP4_1770
ZCP4_1046,ZCP4_1770
ZCP4_1046,ZCP4_1819
ZCP4_0018,ZCP4_1858
ZCP4_0018,ZCP4_1858
ZCP4_0210,ZCP4_1858
ZCP4_1046,ZCP4_1858
ZCP4_1046,ZCP4_1915
ZCP4_0375,ZCP4_1146
ZCP4_1042,ZCP4_1146
ZCP4_1042,ZCP4_1094
ZCP4_1387,ZCP4_1094
ZCP4_0375,ZCP4_0977
ZCP4_0900,ZCP4_0977
