,gene_id,database,kegg_id
6907,YBL036C,KEGG_pathway,map04961
6908,YBL036C,KEGG_pathway,map05016
6913,YBL035C,KEGG_pathway,map00230
6914,YBL035C,KEGG_pathway,map00240
6915,YBL035C,KEGG_pathway,map01100
6916,YBL035C,KEGG_pathway,map03030
6921,YBL034C,KEGG_pathway,map00230
6922,YBL034C,KEGG_pathway,map00240
6923,YBL034C,KEGG_pathway,map01100
6924,YBL034C,KEGG_pathway,map03030
6930,YBL033C,KEGG_pathway,map00740
6931,YBL033C,KEGG_pathway,map00790
6932,YBL033C,KEGG_pathway,map01100
6933,YBL033C,KEGG_pathway,map01110
6934,YBL033C,KEGG_pathway,map02024
6940,YBL032W,KEGG_pathway,map00740
6941,YBL032W,KEGG_pathway,map00790
6942,YBL032W,KEGG_pathway,map01100
6943,YBL032W,KEGG_pathway,map01110
6944,YBL032W,KEGG_pathway,map02024
6950,YBL031W,KEGG_pathway,map00740
6951,YBL031W,KEGG_pathway,map00790
6952,YBL031W,KEGG_pathway,map01100
6953,YBL031W,KEGG_pathway,map01110
6954,YBL031W,KEGG_pathway,map02024
6962,YBL030C,KEGG_pathway,map04020
6963,YBL030C,KEGG_pathway,map04022
6964,YBL030C,KEGG_pathway,map04217
6965,YBL030C,KEGG_pathway,map04218
6966,YBL030C,KEGG_pathway,map05012
6967,YBL030C,KEGG_pathway,map05016
6968,YBL030C,KEGG_pathway,map05166
6976,YBL029C-A,KEGG_pathway,map04020
6977,YBL029C-A,KEGG_pathway,map04022
6978,YBL029C-A,KEGG_pathway,map04217
6979,YBL029C-A,KEGG_pathway,map04218
6980,YBL029C-A,KEGG_pathway,map05012
6981,YBL029C-A,KEGG_pathway,map05016
6982,YBL029C-A,KEGG_pathway,map05166
6990,YBL029W,KEGG_pathway,map04020
6991,YBL029W,KEGG_pathway,map04022
6992,YBL029W,KEGG_pathway,map04217
6993,YBL029W,KEGG_pathway,map04218
6994,YBL029W,KEGG_pathway,map05012
6995,YBL029W,KEGG_pathway,map05016
6996,YBL029W,KEGG_pathway,map05166
7004,YBL028C,KEGG_pathway,map04020
7005,YBL028C,KEGG_pathway,map04022
7006,YBL028C,KEGG_pathway,map04217
7007,YBL028C,KEGG_pathway,map04218
7008,YBL028C,KEGG_pathway,map05012
7009,YBL028C,KEGG_pathway,map05016
7010,YBL028C,KEGG_pathway,map05166
7018,YBL025W,KEGG_pathway,map04020
7019,YBL025W,KEGG_pathway,map04022
7020,YBL025W,KEGG_pathway,map04217
7021,YBL025W,KEGG_pathway,map04218
7022,YBL025W,KEGG_pathway,map05012
7023,YBL025W,KEGG_pathway,map05016
7024,YBL025W,KEGG_pathway,map05166
7032,YBL024W,KEGG_pathway,map04020
7033,YBL024W,KEGG_pathway,map04022
7034,YBL024W,KEGG_pathway,map04217
7035,YBL024W,KEGG_pathway,map04218
7036,YBL024W,KEGG_pathway,map05012
7037,YBL024W,KEGG_pathway,map05016
7038,YBL024W,KEGG_pathway,map05166
7043,YBL023C,KEGG_pathway,map03030
7044,YBL023C,KEGG_pathway,map04110
7045,YBL023C,KEGG_pathway,map04111
7046,YBL023C,KEGG_pathway,map04113
7051,YBL022C,KEGG_pathway,map03030
7052,YBL022C,KEGG_pathway,map04110
7053,YBL022C,KEGG_pathway,map04111
7054,YBL022C,KEGG_pathway,map04113
7058,YBL021C,KEGG_pathway,map04612
7059,YBL021C,KEGG_pathway,map05152
7060,YBL021C,KEGG_pathway,map05166
7064,YBL020W,KEGG_pathway,map04612
7065,YBL020W,KEGG_pathway,map05152
7066,YBL020W,KEGG_pathway,map05166
7068,YBL019W,KEGG_pathway,map03410
7070,YBL017C,KEGG_pathway,map03410
7175,YBL016W,KEGG_pathway,map01521
7176,YBL016W,KEGG_pathway,map01522
7177,YBL016W,KEGG_pathway,map01524
7178,YBL016W,KEGG_pathway,map04010
7179,YBL016W,KEGG_pathway,map04011
7180,YBL016W,KEGG_pathway,map04012
7181,YBL016W,KEGG_pathway,map04013
7182,YBL016W,KEGG_pathway,map04014
7183,YBL016W,KEGG_pathway,map04015
7184,YBL016W,KEGG_pathway,map04022
7185,YBL016W,KEGG_pathway,map04024
7186,YBL016W,KEGG_pathway,map04062
7187,YBL016W,KEGG_pathway,map04066
7188,YBL016W,KEGG_pathway,map04068
7189,YBL016W,KEGG_pathway,map04071
7190,YBL016W,KEGG_pathway,map04072
7191,YBL016W,KEGG_pathway,map04114
7192,YBL016W,KEGG_pathway,map04140
7193,YBL016W,KEGG_pathway,map04150
7194,YBL016W,KEGG_pathway,map04151
7195,YBL016W,KEGG_pathway,map04210
7196,YBL016W,KEGG_pathway,map04214
7197,YBL016W,KEGG_pathway,map04218
7198,YBL016W,KEGG_pathway,map04261
7199,YBL016W,KEGG_pathway,map04270
7200,YBL016W,KEGG_pathway,map04320
7201,YBL016W,KEGG_pathway,map04350
7202,YBL016W,KEGG_pathway,map04360
7203,YBL016W,KEGG_pathway,map04370
7204,YBL016W,KEGG_pathway,map04371
7205,YBL016W,KEGG_pathway,map04380
7206,YBL016W,KEGG_pathway,map04510
7207,YBL016W,KEGG_pathway,map04520
