task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
182	af/d849b7	29660	featureCounts (1)	COMPLETED	0	2024-11-09 07:54:36.982	43.3s	43s	379.6%	100 MB	372.6 MB	5.3 GB	1.1 MB
183	e9/cc67fd	7864	featureCounts (2)	COMPLETED	0	2024-11-09 07:55:20.303	41.5s	41.2s	379.8%	100.2 MB	372.6 MB	4.9 GB	1.1 MB
184	15/c2dc9d	11353	trim_galore (3)	FAILED	25	2024-11-09 07:56:01.825	1.6s	1.6s	-	-	-	-	-
185	2f/d0a2ef	12261	featureCounts (3)	COMPLETED	0	2024-11-09 07:56:03.477	40.1s	39.8s	380.0%	100.2 MB	372.6 MB	4.7 GB	1.1 MB
186	70/61da2c	22205	trim_galore (5)	FAILED	25	2024-11-09 07:56:43.582	1.7s	1.6s	-	-	-	-	-
187	18/26671b	23085	featureCounts (4)	COMPLETED	0	2024-11-09 07:56:45.289	36.3s	36s	380.7%	100.1 MB	372.6 MB	4.4 GB	1.1 MB
188	8b/e3f0af	28033	featureCounts (5)	COMPLETED	0	2024-11-09 07:57:21.568	40.4s	40.2s	381.1%	100.2 MB	372.6 MB	4.8 GB	1.1 MB
189	0b/992b5d	3524	featureCounts (6)	COMPLETED	0	2024-11-09 07:58:02.022	34.2s	34s	378.7%	94.1 MB	372.6 MB	4.1 GB	1.1 MB
190	b2/a7dca6	6691	featureCounts (7)	COMPLETED	0	2024-11-09 07:58:36.278	38.3s	38s	377.8%	100 MB	372.6 MB	4.6 GB	1.1 MB
191	9d/48094b	16486	featureCounts (8)	COMPLETED	0	2024-11-09 07:59:14.543	34.6s	34.3s	378.7%	100.2 MB	372.6 MB	4.1 GB	1.1 MB
192	d0/c356e5	21130	featureCounts (9)	COMPLETED	0	2024-11-09 07:59:49.133	34.3s	34s	372.4%	96 MB	372.6 MB	4 GB	1.1 MB
