Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRX2036091	3.308598329852893	39.58651712072395
SRX2036300	0.5078985229823413	0.0
SRX2036303	0.6519209516603246	0.30731002595710477
SRX2036305	0.5550025119550452	0.23739968793278055
SRX2036307	0.49275945677204797	0.23514713175931207
SRX2037533	0.5123876440840234	2.7218045973292586
SRX2037535	0.41400202852039353	2.7332621306773177
SRX2037536	0.48070428551249234	1.855434475688228
SRX2037537	0.34470240684228437	2.022472225246867
SRX2037538	0.6209547503751512	2.4186714208881908
SRX2037540	0.7106882877370727	3.229357487119123
SRX2037541	0.8831636969657056	3.407692133467815
SRX2037542	0.7586626292689699	3.435650763342504
SRX2037691	0.5267999774558308	2.4006617727529855
SRX2037693	0.36194623376649493	2.060533635584128
SRX2037695	0.46730783854196994	1.6387081658643452
SRX2037697	0.3933251314694587	1.655282297441396
SRX2037699	0.9837980133470191	2.6306563414524446
SRX2037713	1.2285482322068064	3.7667898351146425
SRX2037715	1.149556802408011	3.6284280194778695
SRX2037717	0.3298568395975032	2.0311287178102573
SRX2116174	1.1611156262397881	4.0589936869513625
SRX2116175	0.5200176937821741	3.187573323417977
SRX2116176	0.4454481738182385	3.301548569829856
SRX21659709	1.1087349487957814	7.247455767336197
SRX21659710	0.41797253318250793	2.8587917550613806
SRX21659711	0.5459091611365166	5.8256392750378625
SRX22720559	0.0	0.0
SRX22720560	0.0	0.0
SRX22720561	0.11327957406614937	0.0
SRX22720562	0.10337670434467715	0.0
SRX22720563	0.11363489595727506	0.0
SRX22720564	0.11357267289824698	0.0
SRX22720565	0.0	0.0
SRX22720566	0.0	0.0
SRX22720567	0.11451775541204588	0.0
SRX22720568	0.30551851656774714	0.5481480660104068
SRX22720569	0.30509079669943157	0.5137160947957886
SRX22720570	0.0	0.0
SRX22720571	0.0	0.0
SRX22720572	0.11530115333813418	0.0
SRX22720574	0.0	0.0
SRX22720575	0.0	0.0
SRX22720576	0.0	0.0
SRX22720577	0.0	0.0
SRX22720578	0.0	0.0
SRX22720579	0.0	0.0
SRX3316529	0.1001589550287111	0.0
SRX3316530	0.15439115540901185	0.0
SRX3316531	0.14723436029299639	0.0
SRX3316532	0.2128331206664711	0.10560285340323095
SRX3316533	0.14400303608309162	0.4194157358912144
SRX3316534	0.11007326016922062	0.0
SRX3316535	0.3198018391719989	0.4987262950543717
SRX3316536	0.21492972505673924	0.6517663342770218
SRX3316537	0.3915034949461518	0.24327562800577496
SRX3316538	0.14204455963521057	0.395158473645968
SRX3316539	0.1468933813060743	0.6980191889612705
SRX3316540	0.20196693422906126	0.0
SRX3316541	0.37513379004530856	0.4255877280972261
SRX3316542	0.18462240665315158	0.0
SRX3316543	0.24123561863623813	0.0
SRX3316544	0.206479928716231	0.16864616809702515
SRX3316545	0.0	0.0
SRX3316546	0.0	0.0
SRX3316547	0.0	0.0
SRX3316548	0.1394896004812894	0.13834440048950086
SRX3316549	0.18168656582758513	0.6764023324025453
SRX3316550	0.1416826434282419	0.4387435927168237
