Sample	pe_sense	se_antisense	pe_antisense	failed	se_sense
SRX3411524	0.0385		0.0412	0.9203	
SRX3411525	0.1389		0.1419	0.7192	
SRX3541437	0.0144		0.5289	0.4567	
SRX3541438	0.0181		0.5858	0.3961	
SRX3541439	0.0149		0.5613	0.4238	
SRX3541440	0.0146		0.5835	0.4019	
SRX3541441	0.0166		0.5082	0.4752	
SRX3541442	0.0369		0.4864	0.4767	
SRX3541443	0.0358		0.4288	0.5353	
SRX3541444	0.032		0.4497	0.5183	
SRX3541445	0.0336		0.4677	0.4987	
SRX3541446	0.035		0.5242	0.4408	
SRX3541447	0.0294		0.5014	0.4692	
SRX3541448	0.038		0.5406	0.4214	
SRX3541449	0.0594		0.4252	0.5155	
SRX3541450	0.0497		0.3834	0.5669	
SRX3541451	0.0726		0.4813	0.4461	
SRX3541452	0.0611		0.4165	0.5224	
SRX3541453	0.0539		0.3946	0.5515	
SRX5252024		0.4202		0.4309	0.149
SRX5252025		0.3977		0.4241	0.1782
SRX5252026		0.3648		0.4244	0.2108
SRX5252027		0.4257		0.4346	0.1396
SRX5252028		0.4421		0.4183	0.1396
SRX5252029		0.401		0.429	0.17
SRX5252030		0.3799		0.4304	0.1897
SRX5252031		0.4886		0.4259	0.0855
SRX5252032		0.4252		0.4262	0.1485
SRX5252033		0.4322		0.4412	0.1266
SRX5252034		0.4289		0.4337	0.1374
SRX5252035		0.4572		0.4557	0.0871
SRX5252036		0.3724		0.4251	0.2025
SRX5252037		0.3919		0.4287	0.1794
SRX5252038		0.4362		0.4254	0.1384
SRX5252039		0.3607		0.4284	0.2109
SRX5252040		0.4575		0.4386	0.1039
SRX5252041		0.367		0.4249	0.2081
SRX5252042		0.3902		0.4254	0.1844
SRX5252043		0.3953		0.4286	0.1761
SRX5252044		0.3763		0.4278	0.1959
SRX5252045		0.3977		0.4236	0.1787
SRX5252046		0.3675		0.4217	0.2108
SRX5252047		0.392		0.4306	0.1774
SRX5252048		0.3726		0.4239	0.2035
SRX5252049		0.3717		0.4262	0.2021
SRX5252050		0.3631		0.4222	0.2147
SRX5252051		0.3753		0.4247	0.2
SRX5252052		0.3904		0.4152	0.1943
SRX5252053		0.4368		0.4212	0.142
SRX5252054		0.4135		0.4267	0.1598
SRX5252055		0.4315		0.4154	0.1531
SRX5252056		0.4432		0.4361	0.1207
SRX5252057		0.4374		0.4267	0.1359
SRX5252058		0.5007		0.4207	0.0786
SRX5252059		0.5043		0.4473	0.0485
SRX5252060		0.3768		0.4211	0.202
SRX5252061		0.4453		0.4218	0.1329
SRX5329169	0.032		0.4498	0.5182	
SRX5329170	0.0146		0.5834	0.402	
SRX5329171	0.0184		0.5642	0.4174	
SRX5329172	0.0369		0.4864	0.4767	
SRX5329173	0.0296		0.5012	0.4691	
SRX5329174	0.0161		0.597	0.3869	
SRX5329175	0.0149		0.5613	0.4238	
SRX5329176	0.0271		0.4576	0.5153	
SRX5329177	0.0181		0.5857	0.3962	
SRX5329178	0.0359		0.4289	0.5352	
SRX5329179	0.0167		0.5083	0.475	
SRX5329180	0.0351		0.5242	0.4407	
SRX5329181	0.0726		0.4814	0.446	
SRX5329182	0.0239		0.5749	0.4011	
SRX5329183	0.0644		0.4822	0.4534	
SRX5329184	0.0144		0.529	0.4566	
SRX5329185	0.0611		0.4165	0.5224	
SRX5329186	0.054		0.3946	0.5514	
SRX5329187	0.0381		0.5407	0.4212	
SRX5329188	0.0336		0.4679	0.4985	
SRX5329189	0.0496		0.3836	0.5669	
SRX5329190	0.0593		0.425	0.5157	
SRX5329191	0.0356		0.4293	0.5352	
SRX5329192	0.0287		0.485	0.4863	
SRX5329193	0.0257		0.5152	0.4591	
SRX5329194	0.0149		0.5399	0.4453	
SRX6700162	0.0156		0.5791	0.4053	
SRX6700163	0.0146		0.6369	0.3486	
SRX6700164	0.0163		0.5769	0.4068	
SRX6700165	0.0212		0.607	0.3717	
SRX6700166	0.0255		0.5566	0.4179	
SRX6700168	0.0262		0.5496	0.4241	
SRX6700169	0.0269		0.5294	0.4437	
SRX6700170	0.028		0.532	0.44	
SRX6700171	0.0587		0.5	0.4413	
SRX6700172	0.0625		0.5051	0.4325	
SRX6700173	0.0685		0.4832	0.4483	
SRX6700174	0.0143		0.6054	0.3803	
SRX6700175	0.0176		0.5891	0.3932	
SRX6700176	0.0177		0.5898	0.3925	
SRX6700177	0.0192		0.5742	0.4066	
SRX6700178	0.0185		0.5709	0.4107	
SRX6700179	0.016		0.5263	0.4577	
SRX6700180	0.0201		0.4539	0.526	
SRX6700181	0.023		0.5324	0.4445	
SRX6700182	0.0191		0.4753	0.5056	
SRX6700183	0.0519		0.4666	0.4815	
SRX6700184	0.059		0.4712	0.4698	
SRX6700185	0.0494		0.4699	0.4807	
SRX6922015	0.0207		0.577	0.4023	
SRX6922016	0.0161		0.5788	0.4052	
SRX6922017	0.0201		0.5672	0.4127	
SRX6922018	0.0211		0.562	0.4169	
SRX6922019	0.0334		0.5972	0.3694	
SRX6922020	0.0373		0.5783	0.3845	
SRX6922021	0.0368		0.5789	0.3843	
SRX6922023	0.0167		0.5808	0.4025	
SRX6922024	0.0201		0.5773	0.4026	
SRX6922025	0.0214		0.5714	0.4072	
SRX6922026	0.0208		0.5731	0.4061	
SRX6922027	0.0214		0.5756	0.403	
SRX6922028	0.0209		0.5749	0.4041	
SRX6922029	0.0203		0.5675	0.4122	
SRX7101023	0.0169		0.5706	0.4124	
SRX7101024	0.0182		0.5847	0.3971	
SRX7101025	0.0178		0.5833	0.3989	
SRX7101026	0.0067		0.5557	0.4376	
SRX7101027	0.0074		0.5442	0.4484	
SRX7101028	0.007		0.543	0.45	
SRX7101029	0.0189		0.5769	0.4042	
SRX7101030	0.0151		0.5781	0.4068	
SRX7101031	0.0175		0.5732	0.4094	
SRX7101032	0.0231		0.4986	0.4783	
