Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	featureCounts_mqc-generalstats-featurecounts-percent_assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-total_sequences
SRX22720562	0.4637148927603112	49.0	100	99.2688526777167	20.0	17102124.0	94.83	83.23214496514585	78.13171940869366	30021853	18035011.0
SRX22720563	0.4558449771201231	49.0	100	99.14400152148811	20.0	16983027.0	94.14	83.08405994534549	82.44334871343321	29977116	18040233.0
SRX22720564	0.4745095363665337	49.0	100	99.26437732051599	20.0	17258457.0	95.11	84.10579155600844	81.44586972251389	30522345	18145210.0
SRX22720565	0.45921344314969287	49.0	100	99.27492319066387	20.0	17018796.0	94.28	83.41058214447035	78.80266382313098	30114293	18051842.0
SRX22720566	0.5700767047867785	48.0	100	99.15635266639406	20.0	16892367.0	93.26	82.43169504343784	77.44090434538398	29862667	18113583.0
SRX22720567	0.48545676243832486	49.0	100	99.26194860172379	20.0	17120601.0	94.99	85.05633729828868	77.58916916959458	30660098	18023406.0
SRX22720568	0.4902105705468686	49.0	100	99.22603979142353	20.0	17036561.0	94.46	84.08157879417072	78.3296739557918	30330832	18036550.0
SRX22720569	0.46269211663545734	49.0	100	99.24027742482339	20.0	17153585.0	94.83	83.3013633587772	78.34826064071513	30137382	18089369.0
SRX22720570	0.47969461029459165	49.0	100	99.27252825179944	20.0	17082485.0	94.29	83.53192090158488	77.81138125256092	30268266	18117784.0
SRX22720571	0.46129339951740034	49.0	100	99.27418137885678	20.0	17175021.0	94.71	83.49624911807373	79.05590406032017	30281755	18133602.0
SRX22720572	0.4706915603398046	48.0	100	99.25589609931808	20.0	17344613.0	96.01	83.88153369742494	81.30643739687804	30306175	18064867.0
SRX22720574	0.4868693910878593	48.0	100	99.2664541070283	20.0	17031975.0	94.2	83.08916996659514	77.99578630349532	30047038	18081200.0
SRX22720575	0.46712708472013054	48.0	100	99.26579887708857	20.0	17005940.0	94.41	83.33030502427839	77.84066582674266	30021164	18013353.0
