Sample	Unassigned: Overlapping Length	Assigned	Unassigned: r RNA	Unassigned: Unmapped	Unassigned: No Features	Unassigned: Ambiguity
SRX2037541	1506666.0	23671118.0	1217704.0	6502824.0	9151139.0	27120.0
SRX2037542	1661556.0	27023480.0	1468312.0	7797908.0	10213120.0	31355.0
SRX2037691	1257781.0	17483394.0	3066643.0	6825450.0	4887654.0	13248.0
SRX2037693	1005248.0	14314367.0	8828815.0	5405466.0	4248018.0	11948.0
SRX2037695	1113731.0	14964078.0	3721143.0	4789308.0	4593311.0	12889.0
SRX2037697	1139158.0	15806384.0	3917113.0	5021834.0	4842895.0	13596.0
SRX2037699	1254625.0	16549935.0	2067439.0	7474110.0	4525749.0	11516.0
SRX2037713	1211576.0	14817772.0	2465787.0	9752354.0	4965345.0	11584.0
SRX2037715	1101827.0	14853116.0	3791205.0	9851914.0	4876991.0	12499.0
SRX2037717	794518.0	11315215.0	5792106.0	4658650.0	3474396.0	9747.0
SRX2116174	118585.0	2114057.0	2212107.0	2317034.0	505862.0	1743.0
SRX2116175	107862.0	1959750.0	2267505.0	2964982.0	497507.0	1744.0
SRX2116176	210598.0	3792618.0	2018791.0	524232.0	385490.0	2411.0
SRX21659709	444335.0	14010097.0	3664125.0	1353868.0	985349.0	7532.0
SRX21659710	532676.0	16654994.0	2675510.0	1524268.0	1001211.0	8985.0
SRX21659711	1034020.0	34710067.0	8748838.0	3146570.0	2516867.0	18286.0
SRX22720559	1533992.0	30017058.0	413734.0	2189128.0	2105265.0	22603.0
SRX22720560	1511623.0	30199486.0	442224.0	1940142.0	2107234.0	23367.0
SRX22720561	1627579.0	30521793.0	212298.0	1887646.0	1927686.0	20168.0
SRX22720562	1594097.0	30021853.0	346665.0	1865774.0	2220825.0	20808.0
SRX22720563	1590127.0	29977116.0	294621.0	2114412.0	2083831.0	20359.0
SRX22720564	1579687.0	30522345.0	349680.0	1773506.0	2045050.0	20152.0
SRX22720565	1514187.0	30114293.0	467744.0	2066092.0	1919146.0	22222.0
SRX22720566	1528685.0	29862667.0	383423.0	2442432.0	1987082.0	22877.0
SRX22720567	1601064.0	30660098.0	352211.0	1805610.0	1606553.0	21276.0
SRX22720568	1595706.0	30330832.0	365155.0	1999978.0	1760823.0	20606.0
SRX22720569	1536168.0	30137382.0	683673.0	1871568.0	1927075.0	22872.0
SRX22720570	1513661.0	30268266.0	343079.0	2070598.0	2017700.0	22264.0
SRX22720571	1660225.0	30281755.0	153964.0	1917162.0	2232668.0	21430.0
SRX22720572	1875042.0	30306175.0	112133.0	1440508.0	2375069.0	20807.0
SRX22720574	1539652.0	30047038.0	291442.0	2098450.0	2160241.0	25577.0
SRX22720575	1528454.0	30021164.0	338852.0	2014826.0	2098515.0	24895.0
SRX22720576	1607889.0	30328233.0	261377.0	1811432.0	2057144.0	22501.0
SRX22720577	1506266.0	30114100.0	592674.0	1964584.0	1965346.0	24098.0
SRX22720578	1554580.0	30393177.0	312805.0	1840182.0	1942978.0	24944.0
SRX22720579	1589034.0	30272441.0	222103.0	2012926.0	2068574.0	23496.0
SRX3316529	3299907.0	53525811.0	96058.0	2435716.0	8977763.0	40059.0
SRX3316530	2537500.0	46720045.0	107067.0	1888748.0	3244591.0	36261.0
SRX3316531	2650440.0	46134514.0	86994.0	1893632.0	3969491.0	34753.0
SRX3316532	2779609.0	51766795.0	83614.0	3638466.0	4253172.0	31578.0
SRX3316533	2842815.0	51633800.0	62273.0	2607264.0	4834141.0	36455.0
SRX3316534	2398370.0	43952652.0	58741.0	3079790.0	3922292.0	28927.0
SRX3316535	2694249.0	46749217.0	52116.0	2959702.0	3707774.0	30490.0
SRX3316536	2198230.0	38165422.0	698922.0	3103068.0	9978091.0	33045.0
SRX3316537	2624246.0	44221016.0	38293.0	2214860.0	6105597.0	27168.0
SRX3316538	2518814.0	44853079.0	81677.0	2785810.0	3379288.0	30694.0
SRX3316539	2340886.0	41847059.0	63647.0	1831508.0	3233126.0	25684.0
SRX3316540	2646123.0	48671252.0	64386.0	3427808.0	4111845.0	29820.0
SRX3316541	3277952.0	49895655.0	88381.0	2115026.0	4975167.0	31609.0
SRX3316542	2721502.0	45265845.0	72892.0	2218198.0	3661312.0	26615.0
SRX3316543	2953912.0	51102772.0	95619.0	2327116.0	3741624.0	38715.0
SRX3316544	2343359.0	39861538.0	68377.0	2120948.0	3280862.0	28342.0
SRX3316545	2091582.0	39078095.0	173448.0	2036088.0	2877362.0	28035.0
SRX3316546	2458693.0	46891992.0	148529.0	2184346.0	3399261.0	36601.0
SRX3316547	1871791.0	37038276.0	205403.0	1585424.0	2636551.0	24113.0
SRX3316548	2178822.0	40458161.0	140900.0	1629528.0	2723441.0	22484.0
SRX3316549	2179005.0	39273358.0	79538.0	1431566.0	2773235.0	24524.0
SRX3316550	2640905.0	47213640.0	93304.0	2032662.0	3130676.0	30359.0
SRX3316551	2095172.0	49122606.0	459374.0	1973286.0	4865052.0	33770.0
SRX3316552	2737565.0	44760965.0	76394.0	1900624.0	3894842.0	22960.0
SRX3316553	2492236.0	41778393.0	83991.0	2208940.0	3202361.0	25425.0
SRX3316554	2560279.0	42202441.0	58909.0	2010190.0	4422471.0	23556.0
SRX3316555	2046498.0	36957393.0	80287.0	1941006.0	4017973.0	25439.0
SRX3316556	2611335.0	39385078.0	34785.0	1630916.0	4116583.0	24577.0
SRX3316557	2514275.0	44478944.0	89982.0	2067946.0	3515280.0	30847.0
SRX3316558	2122118.0	37901664.0	240378.0	1936518.0	2570448.0	26224.0
SRX3316559	2594559.0	42557799.0	476312.0	2508250.0	3467804.0	27362.0
SRX3316560	2038646.0	43426291.0	866742.0	2043746.0	3819054.0	24737.0
SRX3316561	2348683.0	43793040.0	176131.0	2837996.0	4513274.0	31172.0
SRX3316625	2472906.0	42186036.0	39728.0	2205604.0	3051927.0	21217.0
SRX3316626	2251677.0	40238688.0	52193.0	2848120.0	3359034.0	25562.0
SRX3316627	2494200.0	42711250.0	27519.0	2057214.0	3368894.0	21763.0
SRX3316628	2503859.0	42202921.0	82130.0	2224680.0	3602672.0	28932.0
SRX3316629	2189783.0	39807446.0	66226.0	1767464.0	3058851.0	27026.0
SRX3316630	3084769.0	50504675.0	82152.0	2667668.0	4077519.0	31957.0
SRX3316631	2819495.0	47694590.0	85046.0	1983120.0	3630273.0	29864.0
SRX3316632	2168804.0	40262185.0	124890.0	1814684.0	2939036.0	20969.0
SRX3316633	2123405.0	39294304.0	70083.0	2659544.0	3199541.0	25363.0
SRX3316634	2614480.0	40879295.0	33048.0	2104726.0	3709475.0	25950.0
SRX3316735	2246349.0	39483881.0	2342725.0	10618242.0	2612592.0	21327.0
SRX3316736	2904867.0	46983467.0	160956.0	9243964.0	3265449.0	28143.0
SRX3316737	2976655.0	47749986.0	216151.0	10774934.0	3537576.0	30598.0
SRX3316738	2800225.0	43794758.0	206643.0	8848546.0	3616958.0	28016.0
SRX3316739	2252426.0	37643522.0	47223.0	8348936.0	2630150.0	20311.0
SRX3316740	1109422.0	24384669.0	33013.0	12059320.0	1966809.0	7721.0
SRX3316741	3373174.0	52993429.0	5062923.0	10236652.0	4545296.0	30238.0
SRX3316742	2807521.0	44146951.0	52293.0	8519892.0	3136821.0	26158.0
SRX3316743	2729209.0	43331716.0	49549.0	9121918.0	3243825.0	25953.0
SRX3316744	361620.0	8766431.0	23885.0	5661486.0	923759.0	2899.0
SRX3316745	937497.0	26485372.0	132178.0	15121554.0	3248904.0	8133.0
SRX3316746	933010.0	25507447.0	116633.0	14954210.0	2640761.0	7913.0
SRX3316747	1915208.0	37431889.0	144364.0	12230852.0	2376899.0	17102.0
SRX3316748	2515325.0	39339606.0	58637.0	8199892.0	2959736.0	23934.0
SRX3316749	1802509.0	34654253.0	69448.0	11445032.0	2142845.0	14801.0
SRX3316750	2543038.0	40825959.0	55103.0	8455984.0	2964960.0	24200.0
SRX3316751	2081096.0	31052170.0	61171.0	7905996.0	2514309.0	21484.0
SRX3316752	1696459.0	25759004.0	31155.0	5804682.0	2033910.0	17040.0
SRX3316753	2148335.0	32971269.0	50160.0	7726616.0	2512330.0	22948.0
SRX3316754	1905212.0	29338601.0	85457.0	6807728.0	2372905.0	20001.0
SRX3316755	2358133.0	37724931.0	32527.0	8996198.0	2907426.0	24129.0
SRX3316756	1816709.0	27771698.0	33759.0	6644328.0	2239272.0	19068.0
SRX3316757	1963755.0	29851575.0	46506.0	7042566.0	2481613.0	19829.0
SRX3316758	2412634.0	38344395.0	30576.0	8546842.0	3106715.0	23982.0
SRX3411505	58838.0	658166.0	9472886.0	5334870.0	102783.0	487.0
SRX3411506	44691.0	581637.0	5018503.0	4014064.0	105532.0	301.0
SRX3411507	39909.0	557602.0	6131995.0	5060670.0	53129.0	221.0
SRX3411508	30229.0	384929.0	6118853.0	3148180.0	56055.0	236.0
SRX3411509	33326.0	453370.0	6371184.0	3873910.0	55432.0	410.0
SRX3411510	23999.0	336984.0	3407740.0	7241972.0	38644.0	205.0
SRX3411511	29091.0	393403.0	5798931.0	6923670.0	55001.0	236.0
SRX3411512	18364.0	249162.0	3979959.0	4060588.0	34397.0	128.0
SRX3411513	32796.0	466297.0	4749202.0	5248868.0	45039.0	276.0
SRX3411514	129443.0	1293047.0	410034.0	6953246.0	169529.0	3599.0
SRX3411515	77859.0	710780.0	354074.0	7006610.0	90275.0	1938.0
SRX3411516	95105.0	1101257.0	458354.0	8978726.0	775294.0	1496.0
SRX3411517	65252.0	761702.0	1315211.0	8597762.0	191432.0	865.0
SRX3411518	104035.0	910063.0	154915.0	4710746.0	147127.0	2784.0
SRX3411519	65841.0	543413.0	216613.0	5578838.0	87184.0	1309.0
SRX3411520	28370.0	298926.0	1552409.0	4775010.0	254194.0	255.0
SRX3411521	155660.0	1636311.0	850394.0	7663590.0	183901.0	3904.0
SRX3411522	115079.0	759650.0	331860.0	6787040.0	89048.0	1227.0
SRX3411523	75456.0	667706.0	436215.0	7791476.0	71001.0	1792.0
SRX3411524	41595.0	512104.0	3760237.0	8072034.0	64343.0	421.0
SRX3411525	50078.0	503876.0	593169.0	7491668.0	48233.0	692.0
SRX3541437	1208620.0	24027601.0	3230815.0	50241992.0	1957291.0	15365.0
SRX3541438	2544740.0	48724375.0	1123329.0	7797830.0	4237306.0	35820.0
SRX3541439	1721507.0	35033759.0	2698484.0	23316656.0	2643985.0	23713.0
SRX3541440	2138698.0	44594969.0	1191166.0	9889974.0	3366436.0	32041.0
SRX3541441	527432.0	10341652.0	1638388.0	49139090.0	887524.0	7074.0
SRX3541442	2265972.0	46517819.0	1534311.0	13594940.0	6023020.0	28488.0
SRX3541443	352166.0	7465739.0	1665660.0	46156864.0	1094943.0	4342.0
SRX3541444	407018.0	8602056.0	1606384.0	45296172.0	1131933.0	5411.0
SRX3541445	1134152.0	23157909.0	2903686.0	35562838.0	2907229.0	14104.0
SRX3541446	993748.0	18883191.0	1827277.0	48772602.0	2642657.0	12565.0
SRX3541447	319211.0	6063806.0	1064982.0	52875334.0	780901.0	3694.0
SRX3541448	1251786.0	23762490.0	1271715.0	23985078.0	3453519.0	14326.0
SRX3541449	305427.0	7140693.0	2072791.0	61570986.0	1783007.0	5300.0
SRX3541450	368125.0	9413317.0	4025863.0	44314082.0	2685805.0	6522.0
SRX3541451	1384814.0	32601214.0	2507784.0	17381290.0	9110532.0	22774.0
SRX3541452	154183.0	3487807.0	1059321.0	39152360.0	897208.0	2485.0
SRX3541453	65098.0	1595603.0	621498.0	44920386.0	432955.0	1306.0
SRX5252024	664076.0	8071384.0	105703.0	108502.0	4741859.0	6628.0
SRX5252025	566363.0	6557659.0	23748.0	62724.0	4806727.0	6045.0
SRX5252026	589747.0	7073415.0	18876.0	103992.0	1221161.0	9641.0
SRX5252027	544637.0	6726385.0	27447.0	226030.0	3809261.0	5331.0
SRX5252028	721806.0	9460790.0	56019.0	88454.0	4727490.0	7560.0
SRX5252029	469812.0	5583882.0	86976.0	68474.0	3738102.0	4819.0
SRX5252030	508236.0	6073077.0	23914.0	58404.0	4728015.0	5560.0
SRX5252031	496441.0	6972856.0	32640.0	180201.0	2142668.0	4568.0
SRX5252032	668547.0	8369505.0	47642.0	71665.0	4530955.0	6941.0
SRX5252033	749895.0	10117866.0	46256.0	130611.0	4674225.0	7684.0
SRX5252034	498967.0	6508221.0	38502.0	450969.0	3217654.0	5021.0
SRX5252035	573021.0	8348584.0	27279.0	185565.0	3026024.0	5654.0
SRX5252036	736835.0	8784483.0	22776.0	56453.0	1452647.0	11466.0
SRX5252037	481312.0	5818280.0	35654.0	56634.0	4022128.0	5252.0
SRX5252038	412011.0	5561932.0	20256.0	484663.0	2643494.0	4591.0
SRX5252039	506083.0	5992268.0	26303.0	66588.0	993869.0	7953.0
SRX5252040	769005.0	10233209.0	224190.0	153466.0	3834481.0	8072.0
SRX5252041	637062.0	7661425.0	21680.0	47795.0	1281908.0	10288.0
SRX5252042	472380.0	5689060.0	20788.0	52210.0	4246886.0	5282.0
SRX5252043	419224.0	5027592.0	15160.0	742449.0	3490615.0	4569.0
SRX5252044	636874.0	7689952.0	32650.0	89382.0	1262456.0	10066.0
SRX5252045	608258.0	7032923.0	23336.0	65471.0	5010690.0	6371.0
SRX5252046	554740.0	6539055.0	17692.0	37697.0	1138894.0	8943.0
SRX5252047	310727.0	3661007.0	13340.0	494970.0	2678691.0	3321.0
SRX5252048	672519.0	7968505.0	28105.0	83922.0	1364842.0	10402.0
SRX5252049	771756.0	9598111.0	33488.0	67053.0	1582522.0	13106.0
SRX5252050	638773.0	7566580.0	28938.0	48781.0	1343644.0	10378.0
SRX5252051	514448.0	6103745.0	21923.0	506468.0	1114451.0	8120.0
SRX5252052	510326.0	5855925.0	24623.0	85393.0	4638109.0	5598.0
