Sample	>10	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>500	>1k	>100	>10k+	>5k	>50
SRX3316752	24.293667124496306										7.9205491321627175	9.126220433785294	25.847364285701957	0.8294578493012943	0.8330402215554065	11.616581948262041
SRX3316753	23.020067584051297										8.938376425260909	10.534265990409992	26.33337126311156	0.9921057260243942	1.2458337984464816	11.476321254170472
SRX3316754	23.803042661023394										8.339706236789361	9.15110561090001	26.04465544625309	0.8978879099116035	1.1609001386451447	11.789444118475885
SRX3316755	22.055294639542225										9.228470507149192	11.63054716943407	26.266291979447214	0.9499728249809266	1.719040054282265	11.20393633445904
SRX3316756	24.65007121087714										7.715967152363292	8.448185376939959	25.908097500090673	0.6315573947025399	1.057286567514364	11.573934498759133
SRX3316757	23.77101901807663										8.39032385117397	9.842532608427865	26.081670468390556	0.8997625670775645	1.2272534868440705	11.574801128817883
SRX3316758	20.60464977382574										9.828362563621303	13.87613591330188	24.43536521532889	2.310575676981106	2.447474162265066	10.58769094972139
SRX3411505	6.486423933059507										8.461264872626236	22.766342177961192	13.138763470664097	22.98685800664235	8.747899056871528	3.7248651800811294
SRX3411506	8.277373017004049										8.946544203111543	21.067506079324154	15.595961216563811	13.149362440123982	8.943799726182439	4.622916143684873
SRX3411507	7.270376433744113										8.998098370763188	22.55078180318003	14.178913488630606	17.494342673988957	9.108154532762862	4.02972206500489
SRX3411508	8.498313702158375										6.8831222455839285	15.647358126325631	15.024201051338256	17.349643869432143	6.201441366457904	4.862642392331343
SRX3411509	8.359499740594377										6.707819065581592	15.251670215118098	14.756737778576259	16.74262288493941	6.061159828531173	4.792119978082175
SRX3411510	7.208087934955241										8.948656056560726	25.271331944173692	13.595267407927118	14.160271889013485	9.810453268433632	3.8793680882789534
SRX3411511	6.897257680135094										8.71774661844007	23.406126535214625	13.46433778383307	18.660070914157583	10.163697586272933	3.6960045442196976
SRX3411512	7.70590968842106										9.579826058243953	22.663975212495163	15.834362174642491	11.759294186721242	9.875487074358789	4.397402827047831
SRX3411513	7.5468042775557835										9.242728294213991	22.67458827978134	14.421785451162808	14.492873447897663	9.326040166687049	4.1880763834143035
SRX3411514	14.493608926196258										5.974661502084259	15.065661535197053	12.930823162844327	7.997283654329033	4.414060901305521	5.635002915090346
SRX3411515	11.149351017808744										6.795700369327334	18.561108159104776	13.17898868648196	10.417229997048164	7.392450594584692	4.801907404041269
SRX3411516	9.629922186439025										8.540802965865536	21.989259817041162	14.880367929514609	10.11775736623179	7.861234306831613	4.620223702899456
SRX3411517	9.411801274893946										8.82717762372876	23.915958301256808	15.7712388081282	7.352103720078479	6.944580593934578	4.807415546923964
SRX3411518	13.562189375434134										3.913384806619368	5.536529826684831	10.542187193107019	10.001810863535455	0.9666176916093762	5.021576372343825
SRX3411519	11.697158640521286										4.416732017428846	7.856194085484498	11.22149409673681	3.4237844366060832	1.3410713971132133	5.005634097062068
SRX3411520	10.736764988672668										5.377028726763322	10.287282563354243	13.650321306338789	9.448821388671542	3.4366993435424784	5.742000407352769
SRX3411521	14.258391387926745										5.9823448520296685	9.916176037103481	16.86256160202057	2.9266303204908932	2.43922581107084	6.813444387425472
SRX3411522	10.913944595742855										4.532878585601232	8.349905965246254	10.890005862607017	4.508924844632615	4.110118687883045	4.506862177496634
SRX3411523	10.863113766495418										5.448948079371358	8.677680339246463	12.19477594249482	2.6638195719865574	2.462900947141047	4.8881936913886035
SRX3411524	9.866925492116378										6.241041291526896	11.706000361733043	14.306261886935731	8.500536000139194	3.8171079104310444	5.146718969764278
SRX3411525	10.188363224842638										5.94133157730741	10.267648392807931	12.758645892979251	4.991044195815855	3.9343847939119256	4.85516680084471
SRX3541437	9.654056839479471										7.133104660774936	23.302188336897252	12.14196910728085	18.608522406636933	12.815980925502016	4.2966396843811205
SRX3541438	17.89905925240144										11.251825067188902	17.426958496314285	25.37713462799518	2.437464070273311	2.5505103590180167	9.645709429008363
SRX3541439	14.346117687556642										10.31611396036116	22.28060920763694	19.56212455720531	6.922857266506519	6.880334691662865	7.2972022878854155
SRX3541440	17.480648639806493										11.590709343007417	16.533833615668005	26.040403037822628	2.324178357586305	2.019414402920392	9.373463956496732
SRX3541441	7.476943939739278										5.414887531380966	24.706089779583497	8.016267683436087	24.548359800563908	15.689063224854541	2.8194233347525324
SRX3541442	16.991537285434337										10.190107580393285	16.719577602013402	24.037013324401595	4.6610034344587055	3.192344676550919	8.93109490717435
SRX3541443	6.636321199938646										5.653097973349024	26.999574524356728	6.715607313499898	23.46673105647508	16.62482894108331	2.2621041738086087
SRX3541444	6.981204546588585										5.687438847717152	25.754920845806133	7.1862529233342185	24.15921993700221	15.96512711018224	2.5507403786173515
SRX3541445	11.171742926321228										7.607152247085026	23.953562568758414	13.491169302148181	13.655759373571422	10.19987729936102	5.074333114482468
SRX3541446	9.928586936169804										5.88309299627826	22.519194880280466	9.824926412016046	20.28103484156546	13.589962849456938	3.9582642723473365
SRX3541447	5.691454930338242										4.935067386926405	27.243977570670353	5.544264436229736	28.057237186164286	15.88423655479983	1.848257535872721
SRX3541448	14.175960025516426										8.467483984669306	21.893424343540655	16.611006024150615	8.768060411696274	7.492545193367368	6.40426182651615
SRX3541449	5.9870095938140455										4.067419107112018	22.50863328144212	5.114359382518018	36.46410721373863	14.231004193555455	1.953548424845248
SRX3541450	7.342134902409479										6.141155222906547	28.262147264023362	7.018578776781141	20.03973854430009	14.029295307134184	2.387816389910352
SRX3541451	18.798500031876518										8.1382236481079	17.423000420880996	17.750670002566977	5.229573401602294	4.420275499606411	7.583966238834658
SRX3541452	4.6827121650570795										6.446884360192113	28.97253901280678	6.069830177276655	22.816078885566057	17.58501808953378	1.4528295438399617
SRX3541453	3.4072793489009587										5.716665646692595	29.898170679722785	4.652250706109646	27.5355259216517	18.721660407143855	0.9341570071496124
SRX5252024	28.58170148037942										2.6863737878205436	4.38572672060047	10.866373928388096	1.9091368218060856	1.4533072409171577	7.279104380560902
SRX5252025	31.630428329541548										1.5661228087883943	2.8487796814182382	7.252118098122005	1.0849683564417638	0.8123092111217192	6.279120276786479
SRX5252026	30.468848597287177										0.5941947099859853	1.3874246487432673	3.481451724699372	0.561896205462252	0.4029480094813338	4.293634154613265
SRX5252027	26.712625277787588										2.655191218498454	4.6612407683902495	10.156892030708178	3.5250122775373436	1.5806447278169404	6.896363358335352
SRX5252028	30.632319472493148										3.057498638805091	4.052445603594003	12.08518911250254	0.5648072820681673	1.2230649808862637	8.224780751031629
