Sample	quality_trimmed	r_processed	cutadapt_version	r_written	percent_trimmed	bp_written	r_with_adapters	bp_processed
SRX3316529	29689711	34350728	4.4	34350728	1.3816342698763182	3387612657	10796512	3435072800
SRX3316530	7714932	27446977	4.4	27446977	0.9055928818681925	2719841913	9208893	2744697700
SRX3316531	25931415	27522653	4.4	27522653	1.4776954096685373	2711595202	8325981	2752265300
SRX3316532	28118622	31424301	4.4	31424301	1.3851787824970234	3098901825	9494438	3142430100
SRX3316533	7307707	31157488	4.4	31157488	0.8482948625383407	3089318063	10421427	3115748800
SRX3316534	6498760	26824861	4.4	26824861	0.8223657151476013	2660426254	9023463	2682486100
SRX3316535	79820231	29408731	4.4	29408731	5.578398911534129	2776819467	9714431	2940873100
SRX3316536	24014524	27231625	4.4	27231625	1.460234084451442	2683397953	8726354	2723162500
SRX3316537	6426197	27744989	4.4	27744989	0.7695298419473152	2753148303	9332323	2774498900
SRX3316538	5711593	26962821	4.4	26962821	0.8881680444342229	2672334584	9174673	2696282100
SRX3316539	24000445	24798412	4.4	24798412	1.4643759850429132	2443527001	7477220	2479841200
SRX3316540	26053499	29590763	4.4	29590763	1.370922338163433	2918509662	8937174	2959076300
SRX3316541	6122853	30359962	4.4	30359962	0.7403697343231194	3013518603	10144912	3035996200
SRX3316542	6176534	27131502	4.4	27131502	0.8170470252623685	2690982487	9162725	2713150200
SRX3316543	38328929	30379232	4.4	30379232	1.7804571228133745	2983834280	9257129	3037923200
SRX3316544	49113297	24399331	4.4	24399331	3.2959284826292983	2359514650	7609071	2439933100
SRX3316545	5133803	23288784	4.4	23288784	0.8196230425770621	2309790376	7834366	2328878400
SRX3316546	6208387	27696764	4.4	27696764	0.8141243143061767	2747127791	9264574	2769676400
SRX3316547	15866425	21767768	4.4	21767768	1.275355516468202	2149015157	6733198	2176776800
SRX3316548	24284870	23732584	4.4	23732584	1.5764153199668438	2335845991	7284590	2373258400
SRX3316549	4558939	23030882	4.4	23030882	0.8066523896045319	2284510284	7846186	2303088200
SRX3316550	22136698	27684101	4.4	27684101	1.3072046659561025	2732221314	8484681	2768410100
SRX3316551	7385602	29426269	4.4	29426269	0.8562885087470655	2917429524	9693924	2942626900
SRX3316552	5075249	26822793	4.4	26822793	0.7486427308297089	2662198611	8934663	2682279300
SRX3316553	28116297	25068043	4.4	25068043	1.6709829722248362	2464916027	7779518	2506804300
SRX3316554	22507142	25779186	4.4	25779186	1.4211196195256126	2541283293	8117051	2577918600
SRX3316555	5088157	22672033	4.4	22672033	0.8079422343818924	2248885607	7479229	2267203300
SRX3316556	5777390	24069769	4.4	24069769	0.94204614094967	2384302067	8128672	2406976900
SRX3316557	23999232	26477402	4.4	26477402	1.4436996499883183	2609514784	8087519	2647740200
SRX3316558	43664705	22897394	4.4	22897394	3.2362569731734534	2215637549	7207866	2289739400
SRX3316559	0	25825490	4.4	25825490	0.5712935940421654	2567795063	8734924	2582549000
