Sample	Unassigned_Unmapped	Unassigned_MultiMapping	percent_assigned	Unassigned_MappingQuality	Unassigned_NonSplit	Assigned	Total	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_rRNA	Unassigned_Ambiguity	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_Secondary	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_NoFeatures
SRX18804548	1824222	0	79.42278645359794	0	0	16903172	21282522	0	0	3693	12746	0	0	0	0	814991	1723698
SRX18804549	1398502	0	83.47493611811694	0	0	15901977	19050002	0	0	134546	11532	0	0	0	0	727206	876239
SRX18804550	1251734	0	76.27541603819549	0	0	13332122	17478924	0	0	68869	9626	0	0	0	0	595493	2221080
SRX18804551	1120260	0	80.63216904978049	0	0	13173916	16338288	0	0	91964	9050	0	0	0	0	630877	1312221
SRX18804552	2429880	0	68.87699367995967	0	0	11295101	16398946	0	0	135458	7160	0	0	0	0	429531	2101816
SRX18804553	1190622	0	79.25327012283346	0	0	13481517	17010676	0	0	99941	8278	0	0	0	0	519914	1710404
SRX18804554	1118306	0	81.22043428079103	0	0	12790568	15747968	0	0	70850	8419	0	0	0	0	366792	1393033
SRX19817112	13107014	0	34.85512338355405	0	0	7608978	21830300	0	0	418097	7034	0	0	0	0	301654	387523
SRX19817113	11520040	0	35.49599529539207	0	0	6954626	19592706	0	0	461623	6383	0	0	0	0	285427	364607
SRX19817114	10669812	0	41.81195471078135	0	0	8709814	20830918	0	0	572239	8146	0	0	0	0	367374	503533
SRX19817115	12951658	0	34.56454155560304	0	0	7375769	21339120	0	0	323373	7054	0	0	0	0	307158	374108
SRX19817116	12372238	0	35.74429083584957	0	0	7462134	20876436	0	0	315059	6887	0	0	0	0	327489	392629
SRX19817117	11176822	0	43.87005462099802	0	0	9802232	22343788	0	0	431798	9348	0	0	0	0	420241	503347
SRX2036088	2754120	0	5.068629898797738	0	0	2374575	46848459	0	0	38202704	1989	0	0	0	0	153818	3361253
SRX2036089	2637388	0	5.324381107992164	0	0	2334699	43849209	0	0	35938416	1981	0	0	0	0	160314	2776411
SRX2036090	2188677	0	5.130351864581853	0	0	2200673	42895167	0	0	36066858	1691	0	0	0	0	152834	2284434
SRX2036091	2416302	0	4.406123571440873	0	0	1803687	40935915	0	0	33991616	1573	0	0	0	0	134869	2587868
SRX2036300	1210042	0	63.4486849933086	0	0	17053617	26877810	0	0	1444051	16380	0	0	0	0	1666878	5486842
SRX2036303	1044888	0	62.39854451759223	0	0	15363389	24621390	0	0	1342520	15633	0	0	0	0	1634709	5220251
SRX2036305	1410960	0	62.30453932870992	0	0	18751224	30096080	0	0	2153565	17726	0	0	0	0	1962658	5799947
SRX2036307	1560610	0	64.95656475029372	0	0	20436637	31462004	0	0	730618	19557	0	0	0	0	2107105	6607477
SRX2037533	2350717	0	70.74244883113832	0	0	26084629	36872669	0	0	919198	22235	0	0	0	0	1443055	6052835
