Sample	Not aligned	Aligned
SRX5252059	185417.0	15278446.0
SRX5252060	92168.0	10839690.0
SRX5252061	125672.0	13176153.0
SRX5329169	22783505.0	5890777.0
SRX5329170	5056557.0	25724646.0
SRX5329171	5973512.0	27324686.0
SRX5329172	6966784.0	28269452.0
SRX5329173	26644249.0	4122515.0
SRX5329174	3470644.0	32151288.0
SRX5329175	11877351.0	21126064.0
SRX5329176	26800056.0	6983139.0
SRX5329177	4178439.0	28403643.0
SRX5329178	23303463.0	5307443.0
SRX5329179	24720552.0	6718061.0
SRX5329180	24621315.0	12218855.0
SRX5329181	8820846.0	22850869.0
SRX5329182	2769193.0	24758431.0
SRX5329183	8408146.0	29688233.0
SRX5329184	25317941.0	15258946.0
SRX5329185	19698219.0	2805214.0
SRX5329186	22629145.0	1360545.0
SRX5329187	12199940.0	14901203.0
SRX5329188	17985056.0	15095751.0
SRX5329189	22364375.0	8267999.0
SRX5329190	31129153.0	5671067.0
SRX5329191	30850396.0	6528245.0
SRX5329192	24488283.0	8912819.0
SRX5329193	19883176.0	15316384.0
SRX5329194	24794432.0	11608218.0
SRX6700162	1703230.0	35398234.0
SRX6700163	1364419.0	32572429.0
SRX6700164	1945727.0	39452192.0
SRX6700165	1669181.0	40619062.0
SRX6700166	2070714.0	34412876.0
SRX6700168	1601110.0	38116464.0
SRX6700169	1529198.0	33557083.0
SRX6700170	1633684.0	39348271.0
SRX6700171	2037758.0	42227285.0
SRX6700172	1772317.0	38393877.0
SRX6700173	1598572.0	33377965.0
SRX6700174	1774076.0	39128944.0
SRX6700175	1600308.0	34855058.0
SRX6700176	1676429.0	39495790.0
SRX6700177	1369073.0	27856352.0
SRX6700178	1485424.0	27708114.0
SRX6700179	5834874.0	34422194.0
SRX6700180	10578731.0	37413300.0
SRX6700181	1025567.0	32708630.0
SRX6700182	6829717.0	37042540.0
SRX6700183	1152261.0	28948132.0
SRX6700184	1813258.0	38187663.0
SRX6700185	1528005.0	37051602.0
SRX6922015	1213600.0	8238974.0
SRX6922016	746082.0	5070006.0
SRX6922017	936346.0	9786609.0
SRX6922018	565321.0	7530674.0
SRX6922019	1177525.0	13310222.0
SRX6922020	802498.0	8056759.0
SRX6922021	960146.0	9995226.0
SRX6922023	703039.0	8170696.0
SRX6922024	651108.0	8915744.0
SRX6922025	673379.0	8739333.0
SRX6922026	1155189.0	10772079.0
SRX6922027	1145184.0	10822163.0
SRX6922028	943299.0	9010270.0
SRX6922029	671324.0	8751273.0
SRX7101023	2661625.0	35651876.0
SRX7101024	627429.0	34525039.0
SRX7101025	616056.0	35495328.0
SRX7101026	635509.0	31231513.0
SRX7101027	670136.0	35203196.0
SRX7101028	795739.0	37431033.0
SRX7101029	981193.0	39846758.0
SRX7101030	845655.0	35322906.0
SRX7101031	992696.0	33949252.0
SRX7101032	1067559.0	37146022.0
