Sample	Antisense	Sense	Undetermined
SRX3411525	14.19	13.889999999999999	71.92
SRX3541437	52.89	1.44	45.67
SRX3541438	58.58	1.81	39.61
SRX3541439	56.13	1.49	42.38
SRX3541440	58.35	1.46	40.19
SRX3541441	50.82	1.66	47.52
SRX3541442	48.64	3.6900000000000004	47.67
SRX3541443	42.88	3.58	53.53
SRX3541444	44.97	3.2	51.83
SRX3541445	46.77	3.36	49.87
SRX3541446	52.42	3.5000000000000004	44.080000000000005
SRX3541447	50.13999999999999	2.94	46.92
SRX3541448	54.059999999999995	3.8	42.14
SRX3541449	42.52	5.94	51.55
SRX3541450	38.34	4.97	56.69
SRX3541451	48.13	7.26	44.61
SRX3541452	41.65	6.11	52.239999999999995
SRX3541453	39.46	5.390000000000001	55.15
SRX5252024	42.02	14.899999999999999	43.09
SRX5252025	39.77	17.82	42.41
SRX5252026	36.480000000000004	21.08	42.44
SRX5252027	42.57	13.96	43.46
SRX5252028	44.21	13.96	41.83
SRX5252029	40.1	17.0	42.9
SRX5252030	37.99	18.970000000000002	43.04
SRX5252031	48.86	8.55	42.59
SRX5252032	42.52	14.85	42.620000000000005
SRX5252033	43.22	12.659999999999998	44.12
SRX5252034	42.89	13.74	43.37
SRX5252035	45.72	8.709999999999999	45.57
SRX5252036	37.24	20.25	42.51
SRX5252037	39.190000000000005	17.94	42.870000000000005
SRX5252038	43.62	13.84	42.54
SRX5252039	36.07	21.09	42.84
SRX5252040	45.75	10.39	43.86
SRX5252041	36.7	20.810000000000002	42.49
SRX5252042	39.019999999999996	18.44	42.54
SRX5252043	39.53	17.61	42.86
SRX5252044	37.63	19.59	42.78
SRX5252045	39.77	17.87	42.36
SRX5252046	36.75	21.08	42.17
SRX5252047	39.2	17.740000000000002	43.059999999999995
SRX5252048	37.26	20.349999999999998	42.39
SRX5252049	37.169999999999995	20.21	42.620000000000005
SRX5252050	36.309999999999995	21.47	42.22
SRX5252051	37.53	20.0	42.47
SRX5252052	39.04	19.43	41.52
SRX5252053	43.68	14.2	42.120000000000005
SRX5252054	41.349999999999994	15.98	42.67
SRX5252055	43.15	15.310000000000002	41.54
SRX5252056	44.32	12.07	43.61
SRX5252057	43.74	13.59	42.67
SRX5252058	50.07	7.86	42.07
SRX5252059	50.43	4.8500000000000005	44.73
SRX5252060	37.68	20.200000000000003	42.11
SRX5252061	44.529999999999994	13.29	42.18
SRX5329169	44.98	3.2	51.82
SRX5329170	58.34	1.46	40.2
SRX5329171	56.42	1.8399999999999999	41.74
SRX5329172	48.64	3.6900000000000004	47.67
SRX5329173	50.12	2.96	46.910000000000004
SRX5329174	59.699999999999996	1.6099999999999999	38.690000000000005
SRX5329175	56.13	1.49	42.38
SRX5329176	45.76	2.71	51.53
SRX5329177	58.57	1.81	39.62
SRX5329178	42.89	3.5900000000000003	53.52
SRX5329179	50.83	1.67	47.5
SRX5329180	52.42	3.51	44.07
SRX5329181	48.14	7.26	44.6
SRX5329182	57.489999999999995	2.39	40.11
SRX5329183	48.22	6.4399999999999995	45.34
SRX5329184	52.900000000000006	1.44	45.660000000000004
SRX5329185	41.65	6.11	52.239999999999995
SRX5329186	39.46	5.4	55.14
SRX5329187	54.06999999999999	3.81	42.120000000000005
SRX5329188	46.79	3.36	49.85
SRX5329189	38.36	4.96	56.69
SRX5329190	42.5	5.93	51.57000000000001
SRX5329191	42.93	3.56	53.52
SRX5329192	48.5	2.87	48.63
SRX5329193	51.519999999999996	2.5700000000000003	45.910000000000004
SRX5329194	53.99	1.49	44.529999999999994
SRX6700162	57.91	1.5599999999999998	40.53
SRX6700163	63.690000000000005	1.46	34.86
SRX6700164	57.69	1.63	40.68
SRX6700165	60.699999999999996	2.12	37.169999999999995
SRX6700166	55.66	2.55	41.79
SRX6700168	54.96	2.62	42.41
SRX6700169	52.94	2.69	44.37
SRX6700170	53.2	2.8000000000000003	44.0
SRX6700171	50.0	5.87	44.13
SRX6700172	50.51	6.25	43.25
SRX6700173	48.32	6.8500000000000005	44.83
SRX6700174	60.540000000000006	1.43	38.03
SRX6700175	58.91	1.76	39.32
SRX6700176	58.98	1.77	39.25
SRX6700177	57.42	1.92	40.660000000000004
SRX6700178	57.089999999999996	1.8499999999999999	41.07
SRX6700179	52.629999999999995	1.6	45.769999999999996
SRX6700180	45.39	2.01	52.6
SRX6700181	53.239999999999995	2.3	44.45
SRX6700182	47.53	1.91	50.56
SRX6700183	46.660000000000004	5.19	48.15
SRX6700184	47.12	5.8999999999999995	46.98
SRX6700185	46.989999999999995	4.9399999999999995	48.07
SRX6922015	57.699999999999996	2.07	40.23
SRX6922016	57.879999999999995	1.6099999999999999	40.52
SRX6922017	56.720000000000006	2.01	41.27
SRX6922018	56.2	2.11	41.69
SRX6922019	59.72	3.34	36.94
SRX6922020	57.830000000000005	3.73	38.45
SRX6922021	57.89	3.6799999999999997	38.43
SRX6922023	58.08	1.67	40.25
SRX6922024	57.730000000000004	2.01	40.26
SRX6922025	57.14	2.1399999999999997	40.72
SRX6922026	57.31	2.08	40.61
SRX6922027	57.56	2.1399999999999997	40.300000000000004
SRX6922028	57.489999999999995	2.09	40.410000000000004
SRX6922029	56.75	2.03	41.22
SRX7101023	57.06	1.69	41.24
SRX7101024	58.47	1.82	39.71
SRX7101025	58.330000000000005	1.78	39.89
SRX7101026	55.57	0.67	43.76
SRX7101027	54.42	0.74	44.84
SRX7101028	54.300000000000004	0.7000000000000001	45.0
SRX7101029	57.69	1.8900000000000001	40.42
SRX7101030	57.809999999999995	1.51	40.68
SRX7101031	57.32000000000001	1.7500000000000002	40.94
SRX7101032	49.86	2.31	47.83
SRX7101033	53.300000000000004	1.7500000000000002	44.95
SRX7101034	52.019999999999996	1.7000000000000002	46.28
SRX7101035	44.01	9.030000000000001	46.96
SRX7101036	58.75	1.91	39.34
SRX7101037	60.870000000000005	1.5	37.63
SRX7101038	60.019999999999996	1.69	38.3
SRX7101039	60.260000000000005	2.07	37.669999999999995
SRX7101040	61.27	1.91	36.809999999999995
SRX7101041	59.419999999999995	1.72	38.86
SRX7551986	57.74	1.78	40.47
SRX7551987	58.86	1.6500000000000001	39.489999999999995
SRX7551988	57.58	2.1399999999999997	40.27
SRX7551989	57.230000000000004	2.1999999999999997	40.58
SRX7551990	56.00000000000001	2.0500000000000003	41.94
SRX7551991	57.489999999999995	2.04	40.47
SRX8694706	54.83	1.9800000000000002	43.18
SRX8694707	55.66	1.76	42.58
SRX8694708	55.620000000000005	2.04	42.34
SRX8694709	55.230000000000004	1.97	42.809999999999995
SRX8694710	58.699999999999996	1.24	40.06
SRX8694711	57.589999999999996	1.23	41.17
SRX8694712	56.57	1.0699999999999998	42.35
SRX8694713	57.67	0.9900000000000001	41.339999999999996
