# Program:featureCounts v2.0.6; Command:"featureCounts" "--fracOverlap" "0.5" "-T" "4" "-s" "2" "-a" "all.gff" "-t" "CDS" "-g" "locus_tag" "-o" "SRX2037535_cds.txt" "SRX2037535.bam" 
Geneid	Chr	Start	End	Strand	Length	SRX2037535.bam
ZCP4_0390	CP006818.1	428489	431266	-	2778	30803
ZCP4_0391	CP006818.1	431619	432848	+	1230	4839
ZCP4_0392	CP006818.1	432888	433334	-	447	4260
ZCP4_0393	CP006818.1	433383	434510	-	1128	3566
ZCP4_0394	CP006818.1	434659	435048	+	390	5250
ZCP4_0395	CP006818.1	435067	438093	-	3027	25611
ZCP4_0396	CP006818.1	438250	439695	-	1446	7218
ZCP4_0397	CP006818.1	439859	441265	-	1407	23383
ZCP4_0398	CP006818.1	441656	441760	+	105	16
ZCP4_0399	CP006818.1	441864	442073	-	210	7489
ZCP4_0400	CP006818.1	442070	444292	-	2223	7334
ZCP4_0401	CP006818.1	444519	445412	+	894	9869
ZCP4_0402	CP006818.1	445462	446562	+	1101	25070
ZCP4_0403	CP006818.1	446611	448485	-	1875	8794
ZCP4_0404	CP006818.1	448676	449941	-	1266	4713
ZCP4_0405	CP006818.1	450174	450833	+	660	4025
ZCP4_0406	CP006818.1	450851	452089	+	1239	7089
ZCP4_0407	CP006818.1	452137	453303	+	1167	10532
ZCP4_0409	CP006818.1	453754	455712	-	1959	12180
ZCP4_0410	CP006818.1	455829	457400	-	1572	12241
ZCP4_0411	CP006818.1	457695	460796	+	3102	1989
ZCP4_0412	CP006818.1	461116	462816	+	1701	22842
ZCP4_0413	CP006818.1	463010	465262	+	2253	715
ZCP4_0414	CP006818.1	465329	465532	+	204	444
ZCP4_0415	CP006818.1	465553	466887	-	1335	12501
ZCP4_0416	CP006818.1	466900	468576	-	1677	17480
ZCP4_0417	CP006818.1	468803	469621	-	819	10548
ZCP4_0419	CP006818.1	470248	470493	+	246	222
ZCP4_0420	CP006818.1	470656	471570	+	915	3677
ZCP4_0421	CP006818.1	471606	472652	+	1047	2057
ZCP4_0422	CP006818.1	472653	475373	-	2721	1174
ZCP4_0423	CP006818.1	475745	477322	+	1578	25885
ZCP4_0424	CP006818.1	477826	479004	+	1179	8434
ZCP4_0425	CP006818.1	479229	479783	+	555	2912
ZCP4_0426	CP006818.1	480012	480542	+	531	24229
ZCP4_0427	CP006818.1	480605	480988	-	384	296
ZCP4_0428	CP006818.1	481318	481797	+	480	24054
ZCP4_0429	CP006818.1	481797	482345	+	549	21514
ZCP4_0430	CP006818.1	482551	483954	+	1404	13775
ZCP4_0432	CP006818.1	484176	485849	+	1674	7792
ZCP4_0433	CP006818.1	486206	487231	+	1026	6517
ZCP4_0434	CP006818.1	487219	487551	+	333	559
ZCP4_0435	CP006818.1	487621	488211	-	591	76424
ZCP4_0436	CP006818.1	488707	489729	+	1023	14960
ZCP4_0437	CP006818.1	489733	490878	+	1146	21989
ZCP4_0438	CP006818.1	490822	491499	-	678	949
ZCP4_0439	CP006818.1	491640	493616	-	1977	6426
ZCP4_0440	CP006818.1	493631	494905	-	1275	7540
ZCP4_0441	CP006818.1	494872	495747	-	876	4853
ZCP4_0442	CP006818.1	495747	496640	-	894	10983
ZCP4_0443	CP006818.1	496604	497743	-	1140	8060
ZCP4_0444	CP006818.1	497743	498756	-	1014	5849
ZCP4_0445	CP006818.1	499035	500003	-	969	16396
ZCP4_0446	CP006818.1	500119	501654	-	1536	9043
ZCP4_0447	CP006818.1	501750	502235	+	486	2328
ZCP4_0448	CP006818.1	502289	502843	+	555	17759
ZCP4_0449	CP006818.1	502895	503227	-	333	35238
ZCP4_0450	CP006818.1	503386	505272	-	1887	10657
ZCP4_0452	CP006818.1	505630	505944	-	315	1474
ZCP4_0453	CP006818.1	505954	507069	-	1116	1532
ZCP4_0454	CP006818.1	507477	508163	+	687	4822
ZCP4_0455	CP006818.1	508239	508484	+	246	4587
ZCP4_0456	CP006818.1	508494	509390	+	897	18423
ZCP4_0457	CP006818.1	509474	510010	+	537	856
ZCP4_0458	CP006818.1	510247	511080	+	834	1415
ZCP4_0459	CP006818.1	511117	512145	+	1029	2229
ZCP4_0460	CP006818.1	512211	512789	+	579	17265
ZCP4_0461	CP006818.1	512829	513947	-	1119	19378
ZCP4_0462	CP006818.1	514731	516260	+	1530	1704
ZCP4_0463	CP006818.1	516547	518433	-	1887	43293
ZCP4_0464	CP006818.1	519128	520906	+	1779	3140
ZCP4_0465	CP006818.1	520983	523775	-	2793	15516
ZCP4_0466	CP006818.1	523796	524923	-	1128	9810
ZCP4_0467	CP006818.1	524927	526651	-	1725	11939
ZCP4_0468	CP006818.1	526853	528031	-	1179	2233
ZCP4_0469	CP006818.1	528121	529398	-	1278	1727
ZCP4_0470	CP006818.1	529395	531341	-	1947	9776
ZCP4_0471	CP006818.1	531540	532949	-	1410	9977
ZCP4_0472	CP006818.1	533166	534428	-	1263	4421
ZCP4_0473	CP006818.1	534446	535396	-	951	2941
ZCP4_0474	CP006818.1	535389	536354	-	966	3112
ZCP4_0475	CP006818.1	536351	537283	-	933	2042
ZCP4_0476	CP006818.1	537280	538710	-	1431	3356
ZCP4_0477	CP006818.1	538707	539870	-	1164	3853
ZCP4_0478	CP006818.1	539867	541102	-	1236	2632
ZCP4_0479	CP006818.1	541102	542427	-	1326	3468
ZCP4_0480	CP006818.1	542424	543494	-	1071	6011
ZCP4_0481	CP006818.1	543482	544873	-	1392	8974
