Sample	Unassigned_MultiMapping	Unassigned_rRNA	Unassigned_Duplicate	Unassigned_Ambiguity	Unassigned_Secondary	Unassigned_Read_Type	Unassigned_Overlapping_Length	Unassigned_Unmapped	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_NonSplit	Unassigned_NoFeatures	Total	Unassigned_Chimera	percent_assigned	Unassigned_FragmentLength	Assigned	reads_aligned	not_aligned	not_aligned_percentage	reads_aligned_percentage	reads_processed	per_sequence_gc_content	per_base_sequence_quality	per_sequence_quality_scores	sequence_length_distribution	total_deduplicated_percentage	Encoding	sequence_duplication_levels	Total Sequences	Sequence length	per_base_sequence_content	%GC	per_tile_sequence_quality	per_base_n_content	Sequences flagged as poor quality	File type	median_sequence_length	adapter_content	Filename	Total Bases	basic_statistics	overrepresented_sequences	avg_sequence_length	quality_trimmed	cutadapt_version	r_processed	r_with_adapters	r_written	bp_written	percent_trimmed	bp_processed	pe_antisense	pe_sense	failed	se_sense	se_antisense
SRX3316747	0	144040	0	21798	0	0	2070015	5060180	0	0	0	3006636	54116314	0	80.9619905	0	43813645	24528067	2530090	9.35	90.65	27058157	warn	pass	pass	warn	13.83171328	Sanger / Illumina 1.9	fail	27058157	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316747_val_1.fq.gz	2.6 Gbp	pass	warn	98.85844509	16902533	4.4	27181796	8409683	27181796	2679985158	1.405147842	2718179600	0.435	0.0228	0.5422		
SRX3316748	0	57862	0	29300	0	0	2659520	2388802	0	0	0	3628611	53097130	0	83.49422087	0	44333035	25354164	1194401	4.5	95.5	26548565	warn	pass	pass	warn	10.82322042	Sanger / Illumina 1.9	fail	26548565	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316748_val_2.fq.gz	2.6 Gbp	pass	warn	98.77128515	24302778	4.4	26691015	8083825	26691015	2630602559	1.442393292	2669101500	0.4265	0.0299	0.5436		
SRX3316749	0	69322	0	18793	0	0	1940091	4946582	0	0	0	2748806	50128888	0	80.60281329	0	40405294	22591153	2473291	9.87	90.13	25064444	warn	pass	pass	warn	15.55172271	Sanger / Illumina 1.9	fail	25064444	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316749_val_2.fq.gz	2.4 Gbp	pass	warn	99.10455696	0	4.4	25086705	8844671	25086705	2488867909	0.789365961	2508670500	0.4447	0.0215	0.5338		
SRX3316750	0	54197	0	29477	0	0	2680327	2832684	0	0	0	3567031	54869244	0	83.29899351	0	45705528	26018280	1416342	5.16	94.84	27434622	pass	pass	pass	warn	8.365385406	Sanger / Illumina 1.9	fail	27434622	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316750_val_1.fq.gz	2.7 Gbp	pass	warn	98.9836546	38352040	4.4	27652663	8361319	27652663	2712139696	1.921211133	2765266300	0.4237	0.0261	0.5501		
SRX3316751	0	61020	0	26149	0	0	2213982	2960884	0	0	0	3103934	43636226	0	80.82792724	0	35270257	20337671	1480442	6.79	93.21	21818113	warn	pass	pass	warn	9.735854734	Sanger / Illumina 1.9	fail	21818113	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316751_val_1.fq.gz	2.1 Gbp	pass	warn	99.19298429	0	4.4	21827042	7405639	21827042	2170209206	0.572454756	2182704200	0.4129	0.0326	0.5544		
SRX3316752	0	31063	0	20653	0	0	1795328	1965346	0	0	0	2489634	35342250	0	82.16858293	0	29040226	16688452	982673	5.56	94.44	17671125	warn	pass	pass	warn	9.872854772	Sanger / Illumina 1.9	fail	17671125	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316752_val_1.fq.gz	1.7 Gbp	pass	warn	99.04186179	2726533	4.4	17747942	6022493	17747942	1761550178	0.746228605	1774794200	0.4099	0.0316	0.5586		
SRX3316753	0	49987	0	27727	0	0	2280823	2665832	0	0	0	3073199	45431658	0	82.17637578	0	37334090	21382913	1332916	5.87	94.13	22715829	warn	pass	pass	warn	9.171506994	Sanger / Illumina 1.9	fail	22715829	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316753_val_1.fq.gz	2.2 Gbp	pass	warn	99.01621033	18179579	4.4	22830102	7041777	22830102	2252131414	1.352547001	2283010200	0.4081	0.0302	0.5616		
SRX3316754	0	84003	0	24500	0	0	2026718	2118206	0	0	0	2882219	40529904	0	82.39412065	0	33394258	19205849	1059103	5.23	94.77	20264952	warn	pass	pass	warn	9.714096933	Sanger / Illumina 1.9	fail	20264952	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316754_val_1.fq.gz	2 Gbp	pass	warn	99.04161934	12980514	4.4	20338269	6270675	20338269	2009555556	1.193382977	2033826900	0.4114	0.0316	0.557		
SRX3316755	0	32318	0	29848	0	0	2492426	3328504	0	0	0	3534035	52043344	0	81.90521539	0	42626213	24357420	1664252	6.4	93.6	26021672	warn	pass	pass	warn	9.045255894	Sanger / Illumina 1.9	fail	26021672	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316755_val_1.fq.gz	2.5 Gbp	pass	warn	98.9713724	5960131	4.4	26217919	8863660	26217919	2600411143	0.81550168	2621791900	0.4073	0.0314	0.5612		
SRX3316756	0	33698	0	23225	0	0	1937121	2130156	0	0	0	2768286	38524834	0	82.10897937	0	31632348	18197339	1065078	5.53	94.47	19262417	warn	pass	pass	warn	10.3062242	Sanger / Illumina 1.9	fail	19262417	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316756_val_1.fq.gz	1.9 Gbp	pass	warn	98.85674742	5703086	4.4	19360018	6892217	19360018	1917627451	0.949087392	1936001800	0.4129	0.0319	0.5552		
SRX3316757	0	46032	0	24460	0	0	2087161	2299484	0	0	0	3018672	41405844	0	81.94503897	0	33930035	19553180	1149742	5.55	94.45	20702922	warn	pass	pass	warn	9.536778454	Sanger / Illumina 1.9	fail	20702922	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3316757_val_1.fq.gz	2 Gbp	pass	warn	99.04653923	12382379	4.4	20774807	6411211	20774807	2053392565	1.159487787	2077480700	0.4116	0.0328	0.5555		
SRX3316758	0	30334	0	29514	0	0	2547360	2869378	0	0	0	3752249	52465144	0	82.40958797	0	43236309	24797883	1434689	5.47	94.53	26232572	warn	pass	pass	warn	10.03405611	Sanger / Illumina 1.9	fail	26232572	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3316758_val_2.fq.gz	2.5 Gbp	pass	warn	98.56346682	35393468	4.4	26464630	8153383	26464630	2594267886	1.972259351	2646463000	0.4133	0.0319	0.5548		
SRX3411505	0	9436150	0	187	0	0	35119	5732424	0	0	0	65080	15628030	0	2.297602449	0	359070	4947803	2866212	36.68	63.32	7814015	fail	pass	pass	warn	20.09767951	Sanger / Illumina 1.9	fail	7814015	20-150	fail	50		pass	0	Conventional base calls	147	pass	SRX3411505_val_2.fq.gz	1.1 Gbp	pass	fail	140.4908813	23961529	4.4	8664510	4150353	8664510	1112780991	14.38015606	1299676500	0.5312	0.4405	0.0283		
SRX3411506	0	4998977	0	106	0	0	29534	4308938	0	0	0	64809	9764728	0	3.710948221	0	362364	2727895	2154469	44.13	55.87	4882364	fail	pass	pass	warn	24.19651248	Sanger / Illumina 1.9	fail	4882364	20-150	fail	50		pass	0	Conventional base calls	147	warn	SRX3411506_val_2.fq.gz	686.4 Mbp	pass	fail	139.9958211	16708524	4.4	7763121	4896499	7763121	695206859	40.29833628	1164468150	0.5276	0.417	0.0554		
SRX3411507	0	6109343	0	82	0	0	30830	5278520	0	0	0	35937	11843526	0	3.282924359	0	388814	3282503	2639260	44.57	55.43	5921763	fail	pass	pass	warn	23.90124044	Sanger / Illumina 1.9	fail	5921763	20-150	fail	50		pass	0	Conventional base calls	147	pass	SRX3411507_val_2.fq.gz	832.1 Mbp	pass	fail	139.8988121	31105974	4.4	7260175	2605311	7260175	1027574363	5.642828812	1089026250	0.5394	0.4132	0.0475		
SRX3411508	0	6095507	0	110	0	0	21989	3346980	0	0	0	33138	9738482	0	2.472233352	0	240758	3195751	1673490	34.37	65.63	4869241	warn	pass	pass	warn	10.76663345	Sanger / Illumina 1.9	fail	4869241	20-150	fail	51		pass	0	Conventional base calls	147	pass	SRX3411508_val_1.fq.gz	692.9 Mbp	pass	fail	141.7882124	20715823	4.4	5873659	2077107	5873659	836866484	5.014746458	881048850	0.5224	0.4465	0.0312		
SRX3411509	0	6348286	0	182	0	0	21657	4127690	0	0	0	29796	10787632	0	2.410362163	0	260021	3329971	2063845	38.26	61.74	5393816	warn	pass	pass	warn	12.40730688	Sanger / Illumina 1.9	fail	5393816	20-150	fail	51		pass	0	Conventional base calls	147	pass	SRX3411509_val_1.fq.gz	756.3 Mbp	pass	fail	139.7397177	18566089	4.4	7911166	4942308	7911166	759511601	35.99665747	1186674900	0.5067	0.4627	0.0306		
SRX3411510	0	3390863	0	74	0	0	17927	7397988	0	0	0	25628	11049544	0	1.964461158	0	217064	1825778	3698994	66.95	33.05	5524772	fail	pass	pass	warn	31.01484993	Sanger / Illumina 1.9	fail	5524772	20-150	fail	50		pass	0	Conventional base calls	147	warn	SRX3411510_val_2.fq.gz	764.9 Mbp	pass	fail	137.8190977	44920286	4.4	8069344	2533143	8069344	1136978932	6.065975789	1210401600	0.6083	0.3451	0.0467		
SRX3411511	0	5779977	0	93	0	0	19649	7140442	0	0	0	32282	13200332	0	1.726388397	0	227889	3029945	3570221	54.09	45.91	6600166	fail	pass	pass	warn	27.2421838	Sanger / Illumina 1.9	fail	6600166	20-150	fail	50		pass	0	Conventional base calls	147	warn	SRX3411511_val_2.fq.gz	902.3 Mbp	pass	fail	136.1357251	32248471	4.4	7666246	3870832	7666246	925160218	19.54687096	1149936900	0.5212	0.4477	0.0311		
SRX3411512	0	3965957	0	63	0	0	13437	4184014	0	0	0	20785	8342598	0	1.897993886	0	158342	2079292	2092007	50.15	49.85	4171299	fail	pass	pass	warn	27.92469672	Sanger / Illumina 1.9	fail	4171299	20-150	fail	51		pass	0	Conventional base calls	147	warn	SRX3411512_val_2.fq.gz	576.7 Mbp	pass	fail	137.6888583	19686934	4.4	6574423	4098301	6574423	587483869	40.42733291	986163450	0.56	0.4098	0.0302		
SRX3411513	0	4732571	0	104	0	0	23980	5450754	0	0	0	28848	10542478	0	2.904639687	0	306221	2545862	2725377	51.7	48.3	5271239	fail	pass	pass	warn	27.95670588	Sanger / Illumina 1.9	fail	5271239	20-150	fail	51		pass	0	Conventional base calls	147	warn	SRX3411513_val_2.fq.gz	726.9 Mbp	pass	fail	137.3223016	40907482	4.4	7543296	2464858	7543296	1058163403	6.480897917	1131494400	0.5564	0.3976	0.046		
SRX3411514	0	302330	0	1097	0	0	31414	7992566	0	0	0	390706	8958898	0	2.687663148	0	240785	483166	3996283	89.21	10.79	4479449	warn	pass	pass	warn	37.43512816	Sanger / Illumina 1.9	fail	4479449	20-150	fail	47		pass	0	Conventional base calls	147	warn	SRX3411514_val_2.fq.gz	641.5 Mbp	pass	fail	142.5239202	21736064	4.4	5670715	1667366	5670715	815784819	4.093831907	850607250	0.4629	0.2268	0.3104		
SRX3411515	0	258848	0	532	0	0	18925	7601590	0	0	0	247437	8241536	0	1.385712566	0	114204	319973	3800795	92.24	7.76	4120768	fail	pass	pass	warn	37.50239957	Sanger / Illumina 1.9	fail	4120768	20-150	fail	48		pass	0	Conventional base calls	147	warn	SRX3411515_val_2.fq.gz	584.6 Mbp	pass	fail	141.1979561	14338470	4.4	4973875	2335798	4973875	593237764	20.48617171	746081250	0.5271	0.2444	0.2286		
SRX3411516	0	447519	0	525	0	0	25683	10447430	0	0	0	306935	11410232	0	1.596286561	0	182140	481401	5223715	91.56	8.44	5705116	warn	pass	pass	warn	32.35680132	Sanger / Illumina 1.9	fail	5705116	20-150	fail	42		pass	0	Conventional base calls	147	warn	SRX3411516_val_2.fq.gz	798.4 Mbp	pass	fail	139.2970692	28307016	4.4	6094701	2824361	6094701	811753723	11.20661232	914205150	0.5488	0.3177	0.1334		
SRX3411517	0	1301363	0	344	0	0	23263	9341702	0	0	0	71067	10932224	0	1.779006724	0	194485	795261	4670851	85.45	14.55	5466112	fail	pass	pass	warn	37.78951713	Sanger / Illumina 1.9	fail	5466112	20-150	fail	46		pass	0	Conventional base calls	147	fail	SRX3411517_val_2.fq.gz	758.2 Mbp	pass	fail	138.0453549	51350616	4.4	5926984	2449054	5926984	819529259	7.819417206	889047600	0.608	0.3045	0.0875		
SRX3411518	0	150859	0	1024	0	0	51534	5441820	0	0	0	73501	6029670	0	5.156700118	0	310932	293925	2720910	90.25	9.75	3014835	warn	pass	pass	warn	24.82664957	Sanger / Illumina 1.9	fail	3014835	20-150	fail	48		pass	0	Conventional base calls	147	fail	SRX3411518_val_1.fq.gz	436.3 Mbp	pass	warn	144.122003	17457560	4.4	7846792	1038603	7846792	1151622717	2.157661628	1177018800	0.372	0.2936	0.3344		
SRX3411519	0	209350	0	556	0	0	26751	6068606	0	0	0	38739	6493198	0	2.29772756	0	149196	212296	3034303	93.46	6.54	3246599	fail	pass	pass	warn	21.27073949	Sanger / Illumina 1.9	fail	3246599	20-150	fail	48		pass	0	Conventional base calls	147	pass	SRX3411519_val_1.fq.gz	464.9 Mbp	pass	warn	142.552111	15579502	4.4	3491011	1281695	3491011	469230556	10.39261387	523651650	0.4777	0.3045	0.2178		
SRX3411520	0	1540907	0	62	0	0	15260	5129486	0	0	0	82166	6909164	0	2.044863894	0	141283	889839	2564743	74.24	25.76	3454582	fail	pass	pass	warn	17.59939481	Sanger / Illumina 1.9	fail	3454582	20-150	fail	48		pass	0	Conventional base calls	147	pass	SRX3411520_val_1.fq.gz	492.2 Mbp	pass	fail	141.8777473	24909714	4.4	3637888	1393527	3637888	509733838	6.587954696	545683200	0.5457	0.3913	0.063		
SRX3411521	0	680796	0	1329	0	0	17144	9153570	0	0	0	419858	10493760	0	2.106613835	0	221063	670095	4576785	87.23	12.77	5246880	fail	pass	pass	warn	16.33134176	Sanger / Illumina 1.9	fail	5246880	20-150	fail	46		pass	0	Conventional base calls	147	pass	SRX3411521_val_1.fq.gz	754.4 Mbp	pass	warn	143.1569258	18589105	4.4	6139479	2775573	6139479	759399178	17.53923767	920921850	0.5834	0.1853	0.2313		
SRX3411522	0	323960	0	300	0	0	65896	7369072	0	0	0	50306	8083904	0	3.39402843	0	274370	357416	3684536	91.16	8.84	4041952	fail	pass	pass	warn	20.97819665	Sanger / Illumina 1.9	fail	4041952	20-150	fail	47		pass	0	Conventional base calls	147	pass	SRX3411522_val_1.fq.gz	577.5 Mbp	pass	fail	142.2440742	18716664	4.4	4440321	1794782	4440321	582154673	12.59570753	666048150	0.4852	0.2815	0.2334		
SRX3411523	0	431120	0	660	0	0	36752	8319948	0	0	0	33793	9043646	0	2.447829117	0	221373	361849	4159974	92	8	4521823	fail	pass	pass	warn	18.79993344	Sanger / Illumina 1.9	fail	4521823	20-150	fail	49		pass	0	Conventional base calls	147	pass	SRX3411523_val_1.fq.gz	643.5 Mbp	pass	warn	141.7032847	44129579	4.4	4696244	1870815	4696244	649809325	7.754746843	704436600	0.4048	0.3982	0.1969		
SRX3411524	0	3743384	0	123	0	0	22049	8433120	0	0	0	38358	12450734	0	1.716364674	0	213700	2008807	4216560	67.73	32.27	6225367	fail	pass	pass	warn	12.20859537	Sanger / Illumina 1.9	fail	6225367	20-150	fail	50		pass	0	Conventional base calls	147	pass	SRX3411524_val_1.fq.gz	877.8 Mbp	pass	fail	140.4402568	56987496	4.4	6481251	2756668	6481251	891946947	8.25362295	972187650	0.5525	0.4097	0.0378		
SRX3411525	0	459422	0	115	0	0	10932	7948162	0	0	0	213863	8687716	0	0.635633117	0	55222	369777	3974081	91.49	8.51	4343858	fail	pass	pass	warn	14.76822047	Sanger / Illumina 1.9	fail	4343858	20-150	fail	49		pass	0	Conventional base calls	147	pass	SRX3411525_val_1.fq.gz	621.4 Mbp	pass	fail	142.4236092	21021746	4.4	4547533	1551293	4547533	627112164	8.06558721	682129950	0.6839	0.2222	0.0939		
SRX3541437	0	3218126	0	14395	0	0	1113618	53426380	0	0	0	1772179	80681684	0	26.19799805	0	21136986	13627652	26713190	66.22	33.78	40340842	warn	pass	pass	warn	5.093953641	Sanger / Illumina 1.9	fail	40340842	20-100	fail	52		pass	0	Conventional base calls	100	pass	SRX3541437_val_1.fq.gz	4 Gbp	pass	warn	99.07910182	537094	4.4	40341679	12227982	40341679	4007900938	0.421073142	4024848494	0.4471	0.0242	0.5286		
SRX3541438	0	1090464	0	33893	0	0	2372520	14253680	0	0	0	3854377	64463400	0	66.48496046	0	42858466	25104860	7126840	22.11	77.89	32231700	warn	pass	pass	warn	8.687453248	Sanger / Illumina 1.9	fail	32231700	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3541438_val_2.fq.gz	3.1 Gbp	pass	warn	98.89086905	628198	4.4	32233246	10374912	32233246	3201557707	0.442185797	3215777418	0.3786	0.0294	0.592		
SRX3541439	0	2684080	0	22184	0	0	1602235	28064578	0	0	0	2379184	65438104	0	46.89292801	0	30685843	18686763	14032289	42.89	57.11	32719052	warn	pass	pass	warn	8.583605029	Sanger / Illumina 1.9	fail	32719052	20-100	fail	50		pass	0	Conventional base calls	100	pass	SRX3541439_val_2.fq.gz	3.2 Gbp	pass	warn	98.85932545	820830	4.4	32720362	11119096	32720362	3244299487	0.479676226	3259936628	0.4151	0.0252	0.5597		
SRX3541440	0	1179755	0	30537	0	0	1991978	15643888	0	0	0	3090022	61213284	0	64.16434707	0	39277104	22784698	7821944	25.56	74.44	30606642	pass	pass	pass	warn	7.374661956	Sanger / Illumina 1.9	fail	30606642	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3541440_val_1.fq.gz	3 Gbp	pass	warn	99.08815361	602766	4.4	30607899	9755539	30607899	3038185993	0.451040062	3051951517	0.3822	0.025	0.5928		
SRX3541441	0	1636294	0	6742	0	0	485444	50544802	0	0	0	826913	62541160	0	14.45602384	0	9040965	5998179	25272401	80.82	19.18	31270580	warn	pass	pass	warn	5.166019786	Sanger / Illumina 1.9	fail	31270580	20-100	fail	53		pass	0	Conventional base calls	100	pass	SRX3541441_val_1.fq.gz	3.1 Gbp	pass	warn	99.13838624	325184	4.4	31270936	9207893	31270936	3108369391	0.410737505	3121189286	0.4666	0.0237	0.5097		
SRX3541442	0	1525833	0	21889	0	0	1953403	24187276	0	0	0	4295413	69964550	0	54.28568611	0	37980736	22888637	12093638	34.57	65.43	34982275	pass	pass	pass	warn	7.55356915	Sanger / Illumina 1.9	fail	34982275	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3541442_val_1.fq.gz	3.4 Gbp	pass	warn	99.06802448	667816	4.4	34984365	11011857	34984365	3475511466	0.435398904	3490709979	0.4524	0.0334	0.5142		
SRX3541443	0	1663722	0	3309	0	0	299246	47905510	0	0	0	776276	56739714	0	10.73613272	0	6091651	4417102	23952755	84.43	15.57	28369857	warn	pass	pass	warn	5.459900722	Sanger / Illumina 1.9	fail	28369857	20-100	fail	53		pass	0	Conventional base calls	100	pass	SRX3541443_val_1.fq.gz	2.8 Gbp	pass	warn	99.13371287	614770	4.4	28370403	11261546	28370403	2812049506	0.534946746	2827173378	0.5265	0.0331	0.4404		
SRX3541444	0	1604534	0	4239	0	0	350933	47190996	0	0	0	808074	57048974	0	12.42826558	0	7090198	4928989	23595498	82.72	17.28	28524487	warn	pass	pass	warn	5.448580105	Sanger / Illumina 1.9	fail	28524487	20-100	fail	53		pass	0	Conventional base calls	100	pass	SRX3541444_val_1.fq.gz	2.8 Gbp	pass	warn	99.10622449	550317	4.4	28524609	7128076	28524609	2834385875	0.357534514	2844556145	0.5066	0.0307	0.4627		
SRX3541445	0	2899951	0	11212	0	0	986185	40579074	0	0	0	2067721	65679918	0	29.13489478	0	19135775	12550422	20289537	61.78	38.22	32839959	fail	pass	pass	warn	6.686186231	Sanger / Illumina 1.9	fail	32839959	20-100	fail	51		pass	0	Conventional base calls	100	pass	SRX3541445_val_1.fq.gz	3.2 Gbp	pass	warn	99.03098204	921578	4.4	32841095	9819352	32841095	3261442563	0.431115493	3275564027	0.483	0.031	0.486		
SRX3541446	0	1825074	0	10083	0	0	887078	52537688	0	0	0	1948634	73132040	0	21.77360703	0	15923483	10297176	26268844	71.84	28.16	36566020	fail	pass	pass	warn	6.452897888	Sanger / Illumina 1.9	fail	36566020	20-100	fail	51		pass	0	Conventional base calls	100	pass	SRX3541446_val_1.fq.gz	3.6 Gbp	pass	warn	99.11779417	631953	4.4	36566911	10833918	36566911	3634090515	0.416496615	3649289683	0.4162	0.0405	0.5433		
SRX3541447	0	1063841	0	2986	0	0	288967	53985510	0	0	0	600992	61107928	0	8.453292673	0	5165632	3561209	26992755	88.34	11.66	30553964	warn	pass	pass	warn	5.03351714	Sanger / Illumina 1.9	fail	30553964	20-100	fail	53		pass	0	Conventional base calls	100	pass	SRX3541447_val_1.fq.gz	3 Gbp	pass	fail	99.07992462	777457	4.4	30554514	12348062	30554514	3025058816	0.546787079	3041690386	0.452	0.0332	0.5148		
SRX3541448	0	1270580	0	11348	0	0	1125301	28811522	0	0	0	2520729	53738914	0	37.21592513	0	19999434	12463696	14405761	53.61	46.39	26869457	fail	pass	pass	warn	9.942515656	Sanger / Illumina 1.9	fail	26869457	20-100	fail	49		pass	0	Conventional base calls	100	pass	SRX3541448_val_2.fq.gz	2.6 Gbp	pass	fail	98.81586405	647679	4.4	26870527	9224938	26870527	2663098314	0.482832595	2676019006	0.3885	0.0432	0.5683		
SRX3541449	0	2071414	0	3597	0	0	257117	63573930	0	0	0	1220702	72878204	0	7.891857489	0	5751444	4652137	31786965	87.23	12.77	36439102	fail	pass	pass	warn	7.078089105	Sanger / Illumina 1.9	fail	36439102	20-100	fail	52		pass	0	Conventional base calls	100	pass	SRX3541449_val_2.fq.gz	3.6 Gbp	pass	fail	98.7315627	569457	4.4	36439716	10579663	36439716	3621008845	0.411743711	3635979763	0.4872	0.0539	0.4589		
SRX3541450	0	4001805	0	4534	0	0	304916	47072182	0	0	0	1930755	60813714	0	12.33195854	0	7499522	6870766	23536091	77.4	22.6	30406857	fail	pass	pass	warn	6.77374969	Sanger / Illumina 1.9	fail	30406857	20-100	fail	52		pass	0	Conventional base calls	100	pass	SRX3541450_val_1.fq.gz	3 Gbp	pass	warn	99.09608948	618916	4.4	30407552	11669883	30407552	3013842528	0.520182751	3029601995	0.5299	0.0503	0.4198		
SRX3541451	0	2496252	0	15353	0	0	1150526	27215512	0	0	0	6260309	63008408	0	41.05873616	0	25870456	17896448	13607756	43.19	56.81	31504204	fail	pass	pass	warn	9.795398691	Sanger / Illumina 1.9	fail	31504204	20-100	fail	48		pass	0	Conventional base calls	100	pass	SRX3541451_val_1.fq.gz	3.1 Gbp	pass	warn	99.03572006	598825	4.4	31506637	9817554	31506637	3128848782	0.435839518	3142545236	0.3836	0.0655	0.5509		
SRX3541452	0	1058861	0	1703	0	0	130425	40141610	0	0	0	612952	44753364	0	6.273970824	0	2807813	2305877	20070805	89.7	10.3	22376682	warn	pass	pass	warn	6.010493026	Sanger / Illumina 1.9	fail	22376682	20-100	fail	53		pass	0	Conventional base calls	100	pass	SRX3541452_val_1.fq.gz	2.2 Gbp	pass	warn	99.00449825	265141	4.4	22377044	6518364	22377044	2221291141	0.41017448	2230439836	0.4927	0.0546	0.4527		
SRX3541453	0	621262	0	890	0	0	54285	45381126	0	0	0	301876	47636846	0	2.681552427	0	1277407	1127860	22690563	95.26	4.74	23818423	warn	pass	pass	warn	4.535305547	Sanger / Illumina 1.9	fail	23818423	21-100	fail	54		pass	0	Conventional base calls	100	pass	SRX3541453_val_1.fq.gz	2.3 Gbp	pass	warn	99.06199273	554020	4.4	23818597	5634992	23818597	2365072471	0.343787722	2373231349	0.5195	0.0536	0.4269		
SRX5252024	0	108465	0	6752	0	0	572897	2032255	0	0	0	3934609	13698152	0	51.41696486	0	7043174	11665897	2032255	14.84	85.16	13698152	warn	pass	pass	warn	20.39283431	Sanger / Illumina 1.9	fail	13698152	20-101	warn	45		pass	0	Conventional base calls	100	pass	SRX5252024_trimmed.fq.gz	1.3 Gbp	pass	warn	98.62664073	6657904	4.4	13716389	5245588	13716389	1360293178	1.809074625	1385355289			0.5012	0.1476	0.3512
SRX5252025	0	29172	0	9995	0	0	663923	2037427	0	0	0	1227578	12023266	0	66.99652989	0	8055171	9985839	2037427	16.95	83.05	12023266	warn	pass	pass	warn	22.31458094	Sanger / Illumina 1.9	fail	12023266	20-101	fail	45		pass	0	Conventional base calls	100	pass	SRX5252025_trimmed.fq.gz	1.1 Gbp	pass	warn	98.90864662	7924751	4.4	12062223	4400397	12062223	1197512095	1.70505556	1218284523			0.4961	0.1803	0.3236
SRX5252026	0	19869	0	7907	0	0	467614	1822136	0	0	0	880492	9016832	0	64.53279822	0	5818814	7194696	1822136	20.21	79.79	9016832	warn	pass	pass	warn	27.24293287	Sanger / Illumina 1.9	fail	9016832	20-101	fail	44		pass	0	Conventional base calls	100	pass	SRX5252026_trimmed.fq.gz	903.8 Mbp	pass	warn	99.53459619	0	4.4	9026043	3274575	9026043	903957747	0.841634557	911630343			0.4868	0.2173	0.2959
SRX5252027	0	30797	0	5454	0	0	469091	1728960	0	0	0	3209258	11339091	0	51.99297721	0	5895531	9610131	1728960	15.25	84.75	11339091	warn	pass	pass	warn	21.42741176	Sanger / Illumina 1.9	fail	11339091	20-101	fail	45		pass	0	Conventional base calls	100	pass	SRX5252027_trimmed.fq.gz	1.1 Gbp	pass	warn	98.4441998	13028393	4.4	11343588	4130411	11343588	1124027821	1.89181477	1145702388			0.5047	0.1386	0.3567
SRX5252028	0	57532	0	7801	0	0	626163	2251009	0	0	0	3835162	15062119	0	55.00190245	0	8284452	12811110	2251009	14.94	85.06	15062119	warn	pass	pass	warn	18.89476621	Sanger / Illumina 1.9	fail	15062119	20-101	fail	45		pass	0	Conventional base calls	100	pass	SRX5252028_trimmed.fq.gz	1.5 Gbp	pass	warn	99.10620704	8465578	4.4	15096381	5316221	15096381	1503171448	1.414215607	1524734481			0.5167	0.1438	0.3395
SRX5252029	0	92263	0	8234	0	0	543026	1640725	0	0	0	909851	9952065	0	67.9051634	0	6757966	8311340	1640725	16.49	83.51	9952065	warn	pass	pass	warn	24.59806875	Sanger / Illumina 1.9	fail	9952065	20-101	fail	45		pass	0	Conventional base calls	100	pass	SRX5252029_trimmed.fq.gz	990.2 Mbp	pass	warn	98.83283319	8184077	4.4	10012861	3637997	10012861	990615460	2.045241002	1011298961			0.4969	0.1734	0.3297
SRX5252030	0	30106	0	9797	0	0	600507	1985111	0	0	0	1074207	11397206	0	67.53828965	0	7697478	9412095	1985111	17.42	82.58	11397206	warn	pass	pass	warn	23.73482684	Sanger / Illumina 1.9	fail	11397206	20-101	fail	45		pass	0	Conventional base calls	100	pass	SRX5252030_trimmed.fq.gz	1.1 Gbp	pass	warn	99.00083547	8248721	4.4	11433816	4064697	11433816	1136212567	1.610893719	1154815416			0.4957	0.1888	0.3155
SRX5252031	0	34230	0	4793	0	0	449202	1242705	0	0	0	1826897	9829374	0	63.80413442	0	6271547	8586669	1242705	12.64	87.36	9829374	warn	pass	pass	warn	20.40144526	Sanger / Illumina 1.9	fail	9829374	20-101	fail	47		pass	0	Conventional base calls	100	pass	SRX5252031_trimmed.fq.gz	975.6 Mbp	pass	warn	98.57186755	10849038	4.4	9833718	3441285	9833718	975711551	1.761364258	993205518			0.5359	0.089	0.3751
